Matson PE Ratio Historical Data,Matson PE Ratio Historical Data,Matson PE Ratio Historical Data,Matson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,129.77,,9.24
2024-12-31,134.84,$14.04,9.6
2024-09-30,142.32,$12.02,11.84
2024-06-30,130.35,$9.53,13.68
2024-03-31,111.55,$8.48,13.15
2023-12-31,108.47,$8.38,12.94
2023-09-30,87.5,$8.70,10.06
2023-06-30,76.4,$12.19,6.27
2023-03-31,58.37,$19.42,3.01
2022-12-31,60.88,$26.71,2.28
2022-09-30,59.63,$34.00,1.75
2022-06-30,70.38,$33.64,2.09
2022-03-31,116.07,$27.86,4.17
2021-12-31,86.35,$21.62,3.99
2021-09-30,77.16,$14.19,5.44
2021-06-30,60.92,$9.29,6.56
2021-03-31,63.27,$6.34,9.98
2020-12-31,53.86,$4.44,12.13
2020-09-30,37.75,$2.84,13.29
2020-06-30,27.24,$2.05,13.29
2020-03-31,28.43,$1.72,16.53
2019-12-31,37.66,$1.92,19.61
2019-09-30,34.43,$2.04,16.88
2019-06-30,35.47,$2.17,16.34
2019-03-31,32.95,$2.50,13.18
2018-12-31,29.05,$2.54,11.44
2018-09-30,35.77,$5.96,6.0
2018-06-30,34.44,$5.78,5.96
2018-03-31,25.54,$5.57,4.59
2017-12-31,26.46,$5.40,4.9
2017-09-30,24.81,$1.94,12.79
2017-06-30,26.27,$1.73,15.19
2017-03-31,27.61,$1.59,17.37
2016-12-31,30.6,$1.84,16.63
2016-09-30,34.3,$2.00,17.15
2016-06-30,27.63,$2.36,11.71
2016-03-31,34.19,$2.18,15.68
2015-12-31,36.12,$2.34,15.43
2015-09-30,32.48,$2.37,13.71
2015-06-30,35.32,$1.93,18.3
2015-03-31,35.28,$2.12,16.64
2014-12-31,28.75,$1.63,17.64
2014-09-30,20.72,$1.17,17.71
2014-06-30,22.08,$1.07,20.63
2014-03-31,20.17,$1.12,18.01
2013-12-31,21.2,$1.25,16.96
2013-09-30,21.17,$1.44,14.7
2013-06-30,20.06,$-0.12,0.0
2013-03-31,19.63,$-0.41,0.0
2012-12-31,19.61,$-0.53,0.0
2012-09-30,16.48,$-0.85,0.0
2012-06-30,20.0,$0.52,38.46
2012-03-31,18.14,$0.78,23.26
2011-12-31,15.24,$0.81,18.81
2011-09-30,13.59,$1.25,10.87
2011-06-30,17.86,$1.66,10.76
2011-03-31,16.87,$1.92,8.79
2010-12-31,14.74,$2.22,6.64
2010-09-30,12.78,$2.23,5.73
2010-06-30,10.87,$1.82,5.97
2010-03-31,12.01,$1.43,8.4
2009-12-31,12.38,$1.08,11.47
