Senti Biosciences PE Ratio Historical Data,Senti Biosciences PE Ratio Historical Data,Senti Biosciences PE Ratio Historical Data,Senti Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.51,,0.0
2024-09-30,2.26,$-15.56,0.0
2024-06-30,0.28,$-12.65,0.0
2024-03-31,0.38,$-14.40,0.0
2023-12-31,0.66,$-16.00,0.0
2023-09-30,0.41,$-16.00,0.0
2023-06-30,0.63,$-16.40,0.0
2023-03-31,1.18,$-20.80,0.0
2022-12-31,1.41,$-16.60,0.0
2022-09-30,2.17,$-12.40,0.0
2022-06-30,1.97,$-8.60,0.0
2022-03-31,9.87,0,0.0
