Farmer Brothers PE Ratio Historical Data,Farmer Brothers PE Ratio Historical Data,Farmer Brothers PE Ratio Historical Data,Farmer Brothers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.16,,0.0
2024-12-31,1.8,$-0.48,0.0
2024-09-30,1.98,$-0.36,0.0
2024-06-30,2.68,$-0.18,0.0
2024-03-31,3.57,$-2.29,0.0
2023-12-31,3.06,$-2.83,0.0
2023-09-30,2.58,$-3.69,0.0
2023-06-30,2.77,$-4.02,0.0
2023-03-31,3.86,$-1.90,0.0
2022-12-31,4.61,$-1.56,0.0
2022-09-30,4.69,$-1.14,0.0
2022-06-30,4.69,$-0.89,0.0
2022-03-31,7.12,$-0.92,0.0
2021-12-31,7.45,$-1.47,0.0
2021-09-30,8.41,$-2.18,0.0
2021-06-30,12.69,$-2.41,0.0
2021-03-31,10.44,$-2.74,0.0
2020-12-31,4.67,$-4.28,0.0
2020-09-30,4.42,$-2.83,0.0
2020-06-30,7.34,$-2.20,0.0
2020-03-31,6.96,$-2.15,0.0
2019-12-31,15.06,$-2.88,0.0
2019-09-30,12.95,$-3.91,0.0
2019-06-30,16.37,$-4.35,0.0
2019-03-31,20.01,$-3.83,0.0
2018-12-31,23.33,$-1.02,0.0
2018-09-30,26.4,$-1.55,0.0
2018-06-30,30.55,$-1.43,0.0
2018-03-31,30.2,$-1.36,0.0
2017-12-31,32.15,$-1.02,0.0
2017-09-30,32.85,$1.31,25.08
2017-06-30,30.25,$1.47,20.58
2017-03-31,35.35,$6.45,5.48
2016-12-31,36.7,$6.42,5.72
2016-09-30,35.55,$5.56,6.39
2016-06-30,32.06,$5.39,5.95
2016-03-31,27.87,$0.21,132.71
2015-12-31,32.27,$-0.02,0.0
2015-09-30,27.25,$-0.18,0.0
2015-06-30,23.5,$0.05,470.0
2015-03-31,24.75,$0.37,66.89
2014-12-31,29.45,$0.69,42.68
2014-09-30,28.95,$0.80,36.19
2014-06-30,21.61,$0.75,28.81
2014-03-31,19.7,$0.37,53.24
2013-12-31,23.26,$0.12,193.83
2013-09-30,15.06,$-0.64,0.0
2013-06-30,14.06,$-0.56,0.0
2013-03-31,14.7,$-1.14,0.0
2012-12-31,14.43,$-1.40,0.0
2012-09-30,9.51,$-1.20,0.0
2012-06-30,7.96,$-1.89,0.0
2012-03-31,10.89,$-2.59,0.0
2011-12-31,7.64,$-3.11,0.0
2011-09-30,5.51,$-3.43,0.0
2011-06-30,10.14,$-3.59,0.0
2011-03-31,12.12,$-3.52,0.0
2010-12-31,17.72,$-3.09,0.0
2010-09-30,15.82,$-2.40,0.0
2010-06-30,14.8,$-1.59,0.0
2010-03-31,18.27,$-2.19,0.0
2009-12-31,19.13,$-1.85,0.0
