SK Telecom PE Ratio Historical Data,SK Telecom PE Ratio Historical Data,SK Telecom PE Ratio Historical Data,SK Telecom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.29,,9.86
2024-09-30,23.77,$2.16,11.0
2024-06-30,20.65,$1.77,11.66
2024-03-31,20.93,$1.27,16.48
2023-12-31,20.46,$0.70,29.22
2023-09-30,20.12,$0.44,45.72
2023-06-30,18.0,$0.41,43.89
2023-03-31,18.58,$0.38,48.9
2022-12-31,18.34,$0.36,50.96
2022-09-30,16.88,$0.40,42.2
2022-06-30,19.21,$2.04,9.42
2022-03-31,21.72,$3.68,5.9
2021-12-31,22.29,$4.88,4.57
2021-09-30,41.42,$5.60,7.4
2021-06-30,42.88,$4.64,9.24
2021-03-31,36.89,$3.77,9.79
2020-12-31,33.17,$3.13,10.6
2020-09-30,29.3,$2.60,11.26
2020-06-30,25.25,$2.68,9.41
2020-03-31,21.16,$2.95,7.18
2019-09-30,27.89,$4.71,5.92
2019-03-31,30.65,$6.59,4.65
2018-12-31,33.54,$7.41,4.53
2018-09-30,33.79,$7.62,4.43
2018-06-30,28.27,$7.03,4.02
2018-03-31,29.17,$6.24,4.68
2017-12-31,33.69,$5.88,5.73
2017-09-30,28.71,$5.66,5.07
2017-06-30,29.97,$4.61,6.5
2017-03-31,29.29,$3.84,7.64
2016-12-31,24.31,$3.64,6.68
2016-09-30,25.23,$3.21,7.86
2016-06-30,23.35,$3.33,7.02
2016-03-31,22.4,$3.59,6.24
2015-12-31,22.38,$3.54,6.32
2015-09-30,26.0,$3.97,6.55
2015-06-30,26.42,$3.84,6.89
2015-03-31,28.89,$4.17,6.94
2014-12-31,28.68,$3.79,7.57
2014-09-30,32.21,$3.39,9.5
2014-06-30,27.54,$3.82,7.21
2014-03-31,23.96,$3.70,6.47
2013-12-31,26.14,$3.89,6.73
2013-09-30,23.45,$3.14,7.46
2013-06-30,21.0,$2.39,8.8
2013-03-31,18.36,$1.60,11.5
2012-12-31,16.27,$1.42,11.49
2012-09-30,14.19,$1.42,10.02
2012-06-30,11.81,$1.83,6.46
2012-03-31,13.51,$2.62,5.16
2011-12-31,13.22,$3.16,4.18
2011-09-30,13.06,$3.16,4.13
2011-06-30,17.36,$3.08,5.64
2011-03-31,17.39,$2.68,6.48
2010-12-31,17.22,$1.99,8.64
2010-06-30,13.15,$2.86,4.59
2010-03-31,15.34,$2.73,5.61
2009-12-31,14.45,$2.72,5.32
