Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data,Charles Schwab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,78.57,,26.28
2024-12-31,74.01,$2.99,24.75
2024-09-30,64.59,$2.56,25.23
2024-06-30,73.15,$2.41,30.35
2024-03-31,71.57,$2.39,29.95
2023-12-31,67.8,$2.54,26.69
2023-09-30,53.85,$3.00,17.95
2023-06-30,55.38,$3.43,16.15
2023-03-31,50.91,$3.66,13.91
2022-12-31,80.68,$3.50,23.05
2022-09-30,69.45,$3.29,21.11
2022-06-30,60.86,$3.04,20.02
2022-03-31,80.97,$2.76,29.34
2021-12-31,80.6,$2.82,28.58
2021-09-30,69.65,$2.63,26.48
2021-06-30,69.45,$2.37,29.31
2021-03-31,62.02,$2.26,27.44
2020-12-31,50.3,$2.11,23.84
2020-09-30,34.22,$2.16,15.84
2020-06-30,31.7,$2.38,13.32
2020-03-31,31.43,$2.56,12.28
2019-12-31,44.29,$2.67,16.59
2019-09-30,38.8,$2.70,14.37
2019-06-30,37.11,$2.65,14.0
2019-03-31,39.33,$2.59,15.19
2018-12-31,38.06,$2.45,15.54
2018-09-30,44.92,$2.21,20.33
2018-06-30,46.59,$1.98,23.53
2018-03-31,47.53,$1.77,26.85
2017-12-31,46.66,$1.61,28.98
2017-09-30,39.66,$1.56,25.42
2017-06-30,38.88,$1.49,26.09
2017-03-31,36.86,$1.40,26.33
2016-12-31,35.57,$1.30,27.36
2016-09-30,28.39,$1.22,23.27
2016-06-30,22.71,$1.15,19.75
2016-03-31,25.08,$1.10,22.8
2015-12-31,29.4,$1.03,28.54
2015-09-30,25.45,$1.00,25.45
2015-06-30,29.04,$0.96,30.25
2015-03-31,27.02,$0.94,28.75
2014-12-31,26.74,$0.96,27.86
2014-09-30,25.98,$0.94,27.64
2014-06-30,23.75,$0.92,25.82
2014-03-31,24.05,$0.87,27.65
2013-12-31,22.82,$0.78,29.26
2013-09-30,18.51,$0.70,26.44
2013-06-30,18.54,$0.67,27.67
2013-03-31,15.4,$0.69,22.31
2012-12-31,12.45,$0.69,18.05
2012-09-30,11.04,$0.67,16.47
2012-06-30,11.11,$0.66,16.84
2012-03-31,12.29,$0.66,18.62
2011-12-31,9.59,$0.71,13.5
2011-09-30,9.55,$0.68,14.04
2011-06-30,13.87,$0.60,23.12
2011-03-31,15.15,$0.57,26.58
2010-12-31,14.33,$0.47,30.49
2010-09-30,11.6,$0.51,22.74
2010-06-30,11.78,$0.58,20.32
2010-03-31,15.48,$0.59,26.24
2009-12-31,15.54,$0.68,22.85
