Better Home & Finance Holding PE Ratio Historical Data,Better Home & Finance Holding PE Ratio Historical Data,Better Home & Finance Holding PE Ratio Historical Data,Better Home & Finance Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.98,,0.0
2024-09-30,17.81,$-9.58,0.0
2024-06-30,0.46,$-40.00,0.0
2024-03-31,0.5,$-42.00,0.0
2023-12-31,0.82,$-39.00,0.0
2023-09-30,0.48,$-29.00,0.0
2023-06-30,10.45,$3.50,2.99
2023-03-31,10.11,$10.50,0.96
2022-12-31,10.09,$12.50,0.81
2022-09-30,9.89,$7.50,1.32
2022-06-30,9.79,$8.00,1.22
2022-03-31,9.86,$-23.00,0.0
