American Strategic Investment PE Ratio Historical Data,American Strategic Investment PE Ratio Historical Data,American Strategic Investment PE Ratio Historical Data,American Strategic Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.56,,0.0
2024-12-31,8.49,$-53.28,0.0
2024-09-30,9.24,$-85.54,0.0
2024-06-30,9.57,$-76.12,0.0
2024-03-31,6.35,$-44.41,0.0
2023-12-31,7.97,$-46.90,0.0
2023-09-30,9.1,$-20.12,0.0
2023-06-30,7.91,$-22.42,0.0
2023-03-31,8.52,$-24.37,0.0
2022-12-31,1.77,$-25.32,0.0
2022-09-30,3.23,$-22.16,0.0
2022-06-30,5.25,$-22.56,0.0
2022-03-31,13.09,$-22.80,0.0
2021-12-31,10.43,$-24.56,0.0
2021-09-30,7.83,$-32.64,0.0
2021-06-30,12.62,$-33.52,0.0
