Quince Therapeutics PE Ratio Historical Data,Quince Therapeutics PE Ratio Historical Data,Quince Therapeutics PE Ratio Historical Data,Quince Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.37,,0.0
2024-09-30,0.78,$-1.24,0.0
2024-06-30,0.75,$-1.26,0.0
2024-03-31,1.06,$-0.76,0.0
2023-12-31,1.05,$-0.84,0.0
2023-09-30,1.12,$-0.76,0.0
2023-06-30,1.51,$-0.83,0.0
2023-03-31,1.56,$-1.20,0.0
2022-12-31,0.64,$-1.58,0.0
2022-09-30,1.33,$-2.23,0.0
2022-06-30,2.22,$-2.74,0.0
2022-03-31,6.19,$-2.97,0.0
2021-12-31,12.62,$-3.03,0.0
2021-09-30,91.66,$-2.94,0.0
2021-06-30,53.0,$-2.94,0.0
2021-03-31,36.03,$-2.80,0.0
2020-12-31,27.78,$-2.63,0.0
2020-09-30,50.0,$-2.40,0.0
2020-06-30,46.3,$-2.04,0.0
2020-03-31,45.61,$-2.01,0.0
