Designer Brands PE Ratio Historical Data,Designer Brands PE Ratio Historical Data,Designer Brands PE Ratio Historical Data,Designer Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.04,,8.24
2025-01-31,5.03,$0.49,10.27
2024-10-31,5.17,$-0.03,0.0
2024-07-31,8.03,$-0.10,0.0
2024-04-30,9.14,$0.22,41.56
2024-01-31,8.4,$0.38,22.09
2023-10-31,9.86,$1.56,6.32
2023-07-31,9.67,$2.04,4.74
2023-04-30,7.92,$2.10,3.77
2023-01-31,9.91,$2.27,4.37
2022-10-31,14.56,$1.80,8.09
2022-07-31,13.76,$2.19,6.28
2022-04-30,13.13,$2.12,6.19
2022-01-31,12.47,$2.00,6.23
2021-10-31,12.81,$-0.04,0.0
2021-07-31,13.79,$-1.64,0.0
2021-04-30,16.76,$-3.55,0.0
2021-01-31,11.6,$-6.77,0.0
2020-10-31,4.1,$-5.03,0.0
2020-07-31,5.6,$-3.87,0.0
2020-04-30,6.01,$-2.14,0.0
2020-01-31,13.27,$1.26,10.53
2019-10-31,15.13,$0.79,19.16
2019-07-31,16.61,$0.67,24.8
2019-04-30,19.84,$-0.18,0.0
2019-01-31,24.3,$-0.28,0.0
2018-10-31,23.43,$0.45,52.06
2018-07-31,24.03,$0.02,1201.27
2018-04-30,19.34,$0.85,22.75
2018-01-31,17.17,$0.83,20.69
2017-10-31,16.26,$1.06,15.34
2017-07-31,15.16,$1.48,10.25
2017-04-30,17.14,$1.43,11.98
2017-01-31,17.41,$1.51,11.53
2016-10-31,16.95,$1.27,13.35
2016-07-31,19.63,$1.24,15.83
2016-04-30,19.69,$1.36,14.48
2016-01-31,19.1,$1.53,12.49
2015-10-31,19.68,$1.73,11.37
2015-07-31,25.48,$1.84,13.85
2015-04-30,28.26,$1.80,15.7
2015-01-31,27.56,$1.69,16.31
2014-10-31,22.86,$1.65,13.85
2014-07-31,20.38,$1.70,11.99
2014-04-30,25.42,$1.69,15.09
2014-01-31,28.52,$1.64,17.39
2013-10-31,33.1,$1.64,20.25
2013-07-31,28.53,$1.59,18.0
2013-04-30,24.81,$1.55,16.01
2013-01-31,25.11,$1.62,15.5
2012-10-31,23.35,$1.51,15.47
2012-07-31,21.36,$1.34,16.0
2012-04-30,20.26,$2.98,6.8
2012-01-31,17.95,$2.96,6.06
2011-10-31,18.74,$2.98,6.29
2011-07-31,18.13,$3.00,6.04
2011-04-30,16.25,$1.29,12.64
2011-01-31,11.39,$1.20,9.53
2010-10-31,11.39,$1.14,9.99
2010-07-31,9.11,$1.05,8.71
2010-04-30,10.34,$0.87,11.88
2010-01-31,8.25,$0.62,13.41
2009-10-31,6.57,$0.38,17.29
