Avery Dennison PE Ratio Historical Data,Avery Dennison PE Ratio Historical Data,Avery Dennison PE Ratio Historical Data,Avery Dennison PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,177.05,,20.3
2024-12-31,187.13,$8.72,21.46
2024-09-30,219.81,$8.33,26.39
2024-06-30,216.84,$7.79,27.84
2024-03-31,221.4,$6.85,32.32
2023-12-31,199.74,$6.21,32.16
2023-09-30,179.73,$5.95,30.21
2023-06-30,168.29,$6.94,24.25
2023-03-31,174.43,$8.31,20.99
2022-12-31,175.73,$9.21,19.08
2022-09-30,157.34,$9.89,15.91
2022-06-30,155.9,$9.15,17.04
2022-03-31,166.83,$8.73,19.11
2021-12-31,206.84,$8.84,23.4
2021-09-30,197.25,$8.93,22.09
2021-06-30,199.53,$8.76,22.78
2021-03-31,173.76,$7.52,23.11
2020-12-31,146.25,$6.62,22.09
2020-09-30,120.05,$6.26,19.18
2020-06-30,106.61,$6.18,17.25
2020-03-31,94.71,$6.92,13.69
2019-12-31,121.04,$3.58,33.81
2019-09-30,104.61,$2.77,37.76
2019-06-30,106.0,$2.75,38.55
2019-03-31,102.99,$2.13,48.35
2018-12-31,81.87,$5.27,15.54
2018-09-30,98.75,$3.50,28.22
2018-06-30,92.59,$3.01,30.76
2018-03-31,95.89,$3.28,29.24
2017-12-31,103.26,$3.13,32.99
2017-09-30,88.06,$4.48,19.66
2017-06-30,78.76,$4.26,18.49
2017-03-31,71.45,$3.80,18.8
2016-12-31,61.93,$3.53,17.54
2016-09-30,68.23,$3.46,19.72
2016-06-30,65.22,$3.36,19.41
2016-03-31,62.57,$3.16,19.8
2015-12-31,54.06,$2.95,18.33
2015-09-30,48.54,$3.09,15.71
2015-06-30,51.95,$2.89,17.98
2015-03-31,44.84,$2.65,16.92
2014-12-31,43.68,$2.61,16.74
2014-09-30,37.33,$2.28,16.37
2014-06-30,42.54,$1.97,21.59
2014-03-31,41.76,$2.21,18.9
2013-12-31,41.13,$2.05,20.06
2013-09-30,35.45,$2.10,16.88
2013-06-30,34.6,$2.30,15.04
2013-03-31,34.62,$2.24,15.45
2012-12-31,27.89,$2.08,13.41
2012-09-30,25.2,$1.81,13.92
2012-06-30,21.47,$1.71,12.56
2012-03-31,23.43,$1.78,13.16
2011-12-31,22.1,$1.79,12.35
2011-09-30,19.15,$2.64,7.25
2011-06-30,29.23,$2.77,10.55
2011-03-31,31.56,$2.86,11.03
2010-12-31,31.65,$2.95,10.73
2010-09-30,27.6,$2.36,11.69
2010-06-30,23.74,$2.35,10.1
2010-03-31,26.75,$1.95,13.72
2009-12-31,26.64,$0.98,27.18
