Investar Holding PE Ratio Historical Data,Investar Holding PE Ratio Historical Data,Investar Holding PE Ratio Historical Data,Investar Holding PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.37,,12.15
2024-12-31,21.96,$1.43,15.36
2024-09-30,19.4,$1.79,10.84
2024-06-30,15.22,$1.53,9.95
2024-03-31,16.17,$1.79,9.03
2023-12-31,14.64,$1.69,8.66
2023-09-30,10.33,$2.21,4.67
2023-06-30,11.7,$2.66,4.4
2023-03-31,13.38,$2.91,4.6
2022-12-31,20.5,$3.50,5.86
2022-09-30,18.87,$3.29,5.73
2022-06-30,20.66,$1.61,12.83
2022-03-31,17.94,$1.22,14.7
2021-12-31,17.22,$0.76,22.66
2021-09-30,20.51,$0.51,40.21
2021-06-30,21.24,$1.87,11.36
2021-03-31,19.0,$1.73,10.98
2020-12-31,15.24,$1.27,12.0
2020-09-30,11.71,$1.17,10.01
2020-06-30,13.19,$1.22,10.81
2020-03-31,11.55,$1.31,8.82
2019-12-31,21.71,$1.66,13.08
2019-09-30,21.42,$1.68,12.75
2019-06-30,21.42,$1.63,13.14
2019-03-31,20.35,$1.54,13.21
2018-12-31,22.22,$1.39,15.98
2018-09-30,23.97,$1.30,18.43
2018-06-30,24.65,$1.13,21.81
2018-03-31,23.01,$0.96,23.97
2017-12-31,21.42,$0.97,22.09
2017-09-30,21.4,$0.98,21.83
2017-06-30,20.33,$1.03,19.74
2017-03-31,19.42,$1.09,17.82
2016-12-31,16.53,$1.11,14.89
2016-09-30,13.58,$1.05,12.94
2016-06-30,13.61,$1.02,13.34
2016-03-31,12.97,$0.99,13.11
2015-12-31,15.56,$0.98,15.87
2015-09-30,13.68,$1.05,13.03
2015-06-30,13.42,$0.99,13.56
