FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data,FedEx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,246.21,,15.69
2024-11-30,301.18,$15.69,19.2
2024-08-31,295.86,$16.21,18.25
2024-05-31,250.14,$17.23,14.52
2024-02-29,243.99,$17.34,14.07
2023-11-30,252.48,$16.88,14.96
2023-08-31,253.36,$16.40,15.45
2023-05-31,210.39,$15.50,13.57
2023-02-28,195.03,$11.58,16.84
2022-11-30,173.72,$12.73,13.65
2022-08-31,199.89,$13.54,14.76
2022-05-31,211.95,$14.30,14.82
2022-02-28,209.04,$19.05,10.97
2021-11-30,216.0,$18.15,11.9
2021-08-31,248.41,$18.82,13.2
2021-05-31,293.59,$19.45,15.09
2021-02-28,236.74,$11.29,20.97
2020-11-30,265.99,$9.19,28.94
2020-08-31,203.45,$6.77,30.05
2020-05-31,120.22,$4.89,24.59
2020-02-29,129.33,$-1.39,0.0
2019-11-30,146.03,$0.21,695.36
2019-08-31,144.13,$1.59,90.65
2019-05-31,139.65,$1.85,75.49
2019-02-28,163.22,$13.56,12.04
2018-11-30,205.84,$18.35,11.22
2018-08-31,218.7,$17.68,12.37
2018-05-31,222.73,$16.77,13.28
2018-02-28,219.87,$16.37,13.43
2017-11-30,206.1,$10.85,19.0
2017-08-31,190.44,$10.60,17.97
2017-05-31,171.78,$11.06,15.53
2017-02-28,170.66,$7.05,24.21
2016-11-30,169.16,$6.82,24.8
2016-08-31,145.21,$6.67,21.77
2016-05-31,144.88,$6.44,22.5
2016-02-29,120.0,$3.54,33.9
2015-11-30,138.75,$3.71,37.4
2015-08-31,131.6,$3.41,38.59
2015-05-31,151.15,$3.09,48.92
2015-02-28,154.25,$8.71,17.71
2014-11-30,155.12,$7.93,19.56
2014-08-31,128.57,$7.36,17.47
2014-05-31,125.16,$6.79,18.43
2014-02-28,115.63,$5.28,21.9
2013-11-30,120.16,$5.18,23.2
2013-08-31,92.88,$5.00,18.58
2013-05-31,83.22,$4.92,16.91
2013-02-28,90.95,$5.70,15.96
2012-11-30,77.24,$6.22,12.42
2012-08-31,75.36,$6.40,11.77
2012-05-31,76.53,$6.41,11.94
2012-02-29,77.15,$6.43,12.0
2011-11-30,71.12,$5.51,12.91
2011-08-31,67.27,$4.83,13.93
2011-05-31,79.9,$4.57,17.48
2011-02-28,76.7,$4.15,18.48
2010-11-30,77.64,$4.18,18.57
2010-08-31,66.31,$4.39,15.11
2010-05-31,70.83,$3.77,18.79
2010-02-28,71.82,$-0.38,0.0
2009-11-30,71.47,$-0.83,0.0
