Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data,Gaming And Leisure Properties PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,50.99,,17.77
2024-12-31,48.16,$2.87,16.78
2024-09-30,50.69,$2.86,17.72
2024-06-30,43.89,$2.89,15.19
2024-03-31,43.96,$2.71,16.22
2023-12-31,46.32,$2.77,16.72
2023-09-30,42.09,$2.74,15.36
2023-06-30,44.11,$2.89,15.26
2023-03-31,46.71,$2.91,16.05
2022-12-31,45.88,$2.69,17.06
2022-09-30,38.44,$2.44,15.76
2022-06-30,39.27,$2.22,17.69
2022-03-31,39.59,$2.20,17.99
2021-12-31,40.43,$2.26,17.89
2021-09-30,37.75,$2.50,15.1
2021-06-30,37.24,$2.45,15.2
2021-03-31,33.64,$2.38,14.13
2020-12-31,33.09,$2.29,14.45
2020-09-30,28.42,$2.08,13.66
2020-06-30,26.2,$1.92,13.65
2020-03-31,20.89,$1.83,11.42
2019-12-31,31.95,$1.81,17.65
2019-09-30,27.9,$1.49,18.73
2019-06-30,27.95,$1.56,17.92
2019-03-31,27.19,$1.56,17.43
2018-12-31,22.35,$1.58,14.15
2018-09-30,23.91,$1.80,13.28
2018-06-30,23.85,$1.76,13.55
2018-03-31,21.91,$1.78,12.31
2017-12-31,23.76,$1.78,13.35
2017-09-30,23.29,$1.80,12.94
2017-06-30,23.4,$1.78,13.14
2017-03-31,20.41,$1.72,11.87
2016-12-31,18.33,$1.55,11.82
2016-09-30,19.62,$1.35,14.54
2016-06-30,19.88,$1.20,16.56
2016-03-31,17.53,$1.21,14.48
2015-12-31,15.42,$1.33,11.59
2015-09-30,16.15,$1.46,11.06
2015-06-30,19.58,$1.60,12.24
2015-03-31,19.39,$1.60,12.12
2014-12-31,15.18,$1.58,9.61
2014-09-30,15.53,$1.28,12.14
