American Vanguard PE Ratio Historical Data,American Vanguard PE Ratio Historical Data,American Vanguard PE Ratio Historical Data,American Vanguard PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.75,,0.0
2024-09-30,5.3,$-1.03,0.0
2024-06-30,8.6,$-0.12,0.0
2024-03-31,12.91,$0.26,49.64
2023-12-31,10.91,$0.27,40.39
2023-09-30,10.84,$0.16,67.73
2023-06-30,17.67,$0.40,44.18
2023-03-31,21.6,$0.67,32.24
2022-12-31,21.41,$0.93,23.02
2022-09-30,18.41,$0.95,19.38
2022-06-30,21.98,$0.90,24.42
2022-03-31,19.96,$0.84,23.76
2021-12-31,16.08,$0.61,26.36
2021-09-30,14.74,$0.71,20.77
2021-06-30,17.13,$0.63,27.19
2021-03-31,19.95,$0.59,33.81
2020-12-31,15.15,$0.51,29.71
2020-09-30,12.81,$0.37,34.62
2020-06-30,13.42,$0.38,35.3
2020-03-31,14.1,$0.36,39.16
2019-12-31,18.95,$0.47,40.32
2019-09-30,15.25,$0.60,25.41
2019-06-30,14.97,$0.71,21.08
2019-03-31,16.7,$0.79,21.14
2018-12-31,14.71,$0.82,17.94
2018-09-30,17.39,$0.85,20.46
2018-06-30,22.18,$0.77,28.8
2018-03-31,19.5,$0.73,26.72
2017-12-31,18.95,$0.69,27.47
2017-09-30,22.06,$0.54,40.85
2017-06-30,16.62,$0.50,33.23
2017-03-31,15.98,$0.46,34.73
2016-12-31,18.41,$0.44,41.84
2016-09-30,15.42,$0.41,37.62
2016-06-30,14.51,$0.40,36.28
2016-03-31,15.14,$0.32,47.32
2015-12-31,13.44,$0.22,61.11
2015-09-30,11.09,$0.18,61.63
2015-06-30,13.24,$0.12,110.36
2015-03-31,10.19,$0.10,101.91
2014-12-31,11.13,$0.17,65.47
2014-09-30,10.66,$0.12,88.82
2014-06-30,12.53,$0.40,31.33
2014-03-31,20.48,$0.68,30.12
2013-12-31,22.98,$1.20,19.15
2013-09-30,25.36,$1.58,16.05
2013-06-30,22.03,$1.55,14.21
2013-03-31,28.64,$1.56,18.36
2012-12-31,29.14,$1.28,22.76
2012-09-30,32.53,$1.12,29.05
2012-06-30,24.81,$1.00,24.81
2012-03-31,20.24,$0.92,22.0
2011-12-31,12.42,$0.79,15.72
2011-09-30,10.39,$0.70,14.84
2011-06-30,12.02,$0.67,17.94
2011-03-31,8.04,$0.51,15.77
2010-12-31,7.89,$0.40,19.72
2010-09-30,5.71,$-0.06,0.0
2010-06-30,7.3,$-0.11,0.0
2010-03-31,7.51,$-0.17,0.0
2009-12-31,7.63,$-0.21,0.0
