C4 Therapeutics PE Ratio Historical Data,C4 Therapeutics PE Ratio Historical Data,C4 Therapeutics PE Ratio Historical Data,C4 Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.19,,0.0
2024-12-31,3.6,$-1.51,0.0
2024-09-30,5.7,$-1.70,0.0
2024-06-30,4.62,$-1.90,0.0
2024-03-31,8.17,$-2.37,0.0
2023-12-31,5.65,$-2.67,0.0
2023-09-30,1.86,$-2.75,0.0
2023-06-30,2.75,$-2.85,0.0
2023-03-31,3.14,$-2.68,0.0
2022-12-31,5.9,$-2.62,0.0
2022-09-30,8.77,$-2.17,0.0
2022-06-30,7.54,$-2.03,0.0
2022-03-31,24.26,$-1.98,0.0
2021-12-31,32.2,$-1.82,0.0
2021-09-30,44.68,$-1.51,0.0
