Carter Bankshares PE Ratio Historical Data,Carter Bankshares PE Ratio Historical Data,Carter Bankshares PE Ratio Historical Data,Carter Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.59,,15.65
2024-12-31,17.59,$1.06,16.59
2024-09-30,17.39,$0.62,28.05
2024-06-30,15.12,$0.54,28.0
2024-03-31,12.64,$0.57,22.18
2023-12-31,14.97,$0.99,15.12
2023-09-30,12.53,$1.72,7.28
2023-06-30,14.79,$2.15,6.88
2023-03-31,14.0,$2.35,5.96
2022-12-31,16.59,$2.04,8.13
2022-09-30,16.1,$1.60,10.06
2022-06-30,13.2,$1.43,9.23
2022-03-31,17.37,$1.20,14.48
2021-12-31,15.39,$1.20,12.83
2021-09-30,14.22,$0.99,14.36
2021-06-30,12.51,$0.57,21.95
2021-03-31,13.96,$0.36,38.78
2020-12-31,10.72,0,0.0
2020-09-30,6.65,$0.29,22.93
