Immunome PE Ratio Historical Data,Immunome PE Ratio Historical Data,Immunome PE Ratio Historical Data,Immunome PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.66,,0.0
2024-12-31,10.62,$-3.89,0.0
2024-09-30,14.62,$-8.11,0.0
2024-06-30,12.1,$-7.69,0.0
2024-03-31,24.68,$-7.55,0.0
2023-12-31,10.7,$-5.39,0.0
2023-09-30,8.35,$-1.81,0.0
2023-06-30,7.91,$-2.20,0.0
2023-03-31,4.99,$-2.48,0.0
2022-12-31,2.21,$-3.09,0.0
2022-09-30,4.44,$-3.11,0.0
2022-06-30,3.21,$-3.01,0.0
2022-03-31,5.68,$-2.73,0.0
2021-12-31,12.96,$-2.14,0.0
2021-09-30,24.35,$-1.88,0.0
