KLA PE Ratio Historical Data,KLA PE Ratio Historical Data,KLA PE Ratio Historical Data,KLA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,716.46,,30.13
2024-12-31,630.12,$23.78,26.5
2024-09-30,772.29,$21.90,35.26
2024-06-30,820.83,$20.30,40.44
2024-03-31,694.08,$19.09,36.36
2023-12-31,576.28,$19.69,29.27
2023-09-30,453.49,$22.30,20.34
2023-06-30,478.29,$24.09,19.85
2023-03-31,392.31,$24.52,16.0
2022-12-31,369.34,$24.32,15.19
2022-09-30,295.44,$22.14,13.34
2022-06-30,310.44,$21.90,14.18
2022-03-31,355.04,$20.60,17.24
2021-12-31,415.98,$19.43,21.41
2021-09-30,322.7,$17.66,18.27
2021-06-30,311.77,$13.39,23.28
2021-03-31,316.79,$11.92,26.58
2020-12-31,247.56,$8.76,28.26
2020-09-30,184.54,$8.22,22.45
2020-06-30,184.46,$7.69,23.99
2020-03-31,135.65,$6.41,21.16
2019-12-31,167.29,$7.14,23.43
2019-09-30,149.0,$7.16,20.81
2019-06-30,109.82,$7.54,14.57
2019-03-31,110.19,$8.41,13.1
2018-12-31,82.01,$9.13,8.98
2018-09-30,92.47,$5.85,15.81
2018-06-30,92.62,$5.09,18.2
2018-03-31,97.82,$4.49,21.79
2017-12-31,93.77,$4.15,22.59
2017-09-30,94.06,$6.53,14.4
2017-06-30,80.67,$5.88,13.72
2017-03-31,83.36,$5.99,13.92
2016-12-31,68.57,$5.50,12.47
2016-09-30,60.31,$4.96,12.16
2016-06-30,62.89,$4.49,14.01
2016-03-31,62.04,$3.65,17.0
2015-12-31,58.61,$3.34,17.55
2015-09-30,41.92,$2.48,16.9
2015-06-30,46.66,$2.25,20.74
2015-03-31,47.98,$2.13,22.53
2014-12-31,57.44,$2.53,22.7
2014-09-30,51.36,$3.24,15.85
2014-06-30,47.04,$3.47,13.55
2014-03-31,44.45,$3.50,12.7
2013-12-31,41.15,$3.27,12.58
2013-09-30,38.57,$3.07,12.56
2013-06-30,35.06,$3.21,10.92
2013-03-31,32.93,$3.87,8.51
2012-12-31,29.61,$4.10,7.22
2012-09-30,29.31,$4.13,7.1
2012-06-30,30.03,$4.46,6.73
2012-03-31,32.96,$4.43,7.44
2011-12-31,29.02,$4.44,6.54
2011-09-30,22.85,$4.87,4.69
2011-06-30,23.93,$4.65,5.15
2011-03-31,27.82,$3.88,7.17
2010-12-31,22.6,$2.99,7.56
2010-09-30,20.47,$2.03,10.08
2010-06-30,16.06,$1.24,12.95
2010-03-31,17.73,$0.43,41.24
2009-12-31,20.63,$-0.39,0.0
