Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,434.28,,16.96
2024-12-31,368.9,$25.61,14.4
2024-09-30,517.85,$27.43,18.88
2024-06-30,538.01,$28.52,18.86
2024-03-31,513.3,$26.46,19.4
2023-12-31,465.28,$25.17,18.49
2023-09-30,428.31,$25.47,16.82
2023-06-30,435.6,$26.70,16.31
2023-03-31,449.39,$25.70,17.49
2022-12-31,499.74,$24.79,20.16
2022-09-30,441.44,$25.49,17.32
2022-06-30,467.76,$24.94,18.76
2022-03-31,474.88,$25.40,18.7
2021-12-31,446.9,$24.72,18.08
2021-09-30,358.4,$22.28,16.09
2021-06-30,365.94,$17.02,21.5
2021-03-31,343.03,$18.68,18.36
2020-12-31,305.82,$17.91,17.08
2020-09-30,255.07,$19.34,13.19
2020-06-30,248.85,$23.02,10.81
2020-03-31,214.15,$18.47,11.59
2019-12-31,283.88,$18.44,15.39
2019-09-30,225.04,$16.43,13.7
2019-06-30,263.67,$15.50,17.01
2019-03-31,267.36,$15.12,17.68
2018-12-31,244.03,$14.20,17.19
2018-09-30,254.64,$17.26,14.75
2018-06-30,220.56,$16.44,13.42
2018-03-31,202.92,$15.62,12.99
2017-12-31,207.14,$14.36,14.42
2017-09-30,174.26,$11.06,15.76
2017-06-30,172.03,$10.56,16.29
2017-03-31,150.7,$10.31,14.62
2016-12-31,130.5,$9.21,14.17
2016-09-30,113.24,$8.52,13.29
2016-06-30,118.08,$8.65,13.65
2016-03-31,124.35,$8.87,14.02
2015-12-31,124.14,$9.33,13.31
2015-09-30,124.06,$10.45,11.87
2015-06-30,144.83,$10.24,14.14
2015-03-31,135.72,$9.67,14.04
2014-12-31,109.99,$8.98,12.25
2014-09-30,104.34,$7.67,13.6
2014-06-30,93.52,$7.61,12.29
2014-03-31,86.16,$7.69,11.2
2013-12-31,79.58,$8.18,9.73
2013-09-30,71.72,$9.20,7.8
2013-06-30,69.9,$9.19,7.61
2013-03-31,56.29,$8.49,6.63
2012-12-31,51.47,$8.13,6.33
2012-09-30,48.76,$7.58,6.43
2012-06-30,53.36,$7.33,7.28
2012-03-31,61.47,$7.28,8.44
2011-12-31,54.94,$7.19,7.64
2011-09-30,53.93,$7.63,7.07
2011-06-30,64.83,$7.57,8.56
2011-03-31,57.25,$7.39,7.75
2010-12-31,46.47,$6.91,6.73
2010-09-30,46.29,$11.46,4.04
2010-06-30,39.99,$11.15,3.59
2010-03-31,52.62,$10.87,4.84
2009-12-31,47.64,$10.07,4.73
