Aurora Cannabis PE Ratio Historical Data,Aurora Cannabis PE Ratio Historical Data,Aurora Cannabis PE Ratio Historical Data,Aurora Cannabis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.57,,91.4
2024-12-31,4.25,$0.05,85.0
2024-09-30,5.88,$-0.76,0.0
2024-06-30,4.62,$-0.70,0.0
2024-03-31,4.39,$-1.40,0.0
2023-12-31,4.76,$-2.60,0.0
2023-09-30,5.85,$-3.50,0.0
2023-06-30,5.35,$-40.70,0.0
2022-12-31,9.23,$-43.10,0.0
2022-09-30,12.2,$-42.10,0.0
2022-03-31,40.0,$-47.50,0.0
2021-12-31,54.1,$-23.60,0.0
2021-09-30,69.2,$-27.50,0.0
2021-03-31,93.1,$-37.20,0.0
2020-12-31,83.1,$-137.34,0.0
2020-09-30,46.5,$-122.74,0.0
2020-03-31,108.71,$-130.25,0.0
2019-12-31,259.2,$-142.86,0.0
