Psychemedics PE Ratio Historical Data,Psychemedics PE Ratio Historical Data,Psychemedics PE Ratio Historical Data,Psychemedics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-12,2.67,,0.0
2024-09-30,2.31,$-0.51,0.0
2024-06-30,2.42,$-0.78,0.0
2024-03-31,2.93,$-0.77,0.0
2023-12-31,2.96,$-0.72,0.0
2023-09-30,3.97,$-0.68,0.0
2023-06-30,4.56,$-0.34,0.0
2023-03-31,5.18,$-0.27,0.0
2022-12-31,4.77,$-0.19,0.0
2022-09-30,6.2,$-0.36,0.0
2022-06-30,6.03,$-0.21,0.0
2022-03-31,6.49,$-0.13,0.0
2021-12-31,6.61,$-0.13,0.0
2021-09-30,7.85,$0.06,130.85
2021-06-30,6.51,$-0.27,0.0
2021-03-31,5.79,$-0.66,0.0
2020-12-31,4.76,$-0.70,0.0
2020-09-30,4.12,$-0.69,0.0
2020-06-30,5.19,$-0.37,0.0
2020-03-31,5.65,$0.14,40.39
2019-12-31,8.38,$0.28,29.94
2019-09-30,8.2,$0.53,15.47
2019-06-30,8.88,$0.64,13.87
2019-03-31,12.13,$0.71,17.09
2018-12-31,13.56,$0.83,16.34
2018-09-30,15.91,$1.09,14.6
2018-06-30,16.14,$1.11,14.54
2018-03-31,17.76,$1.06,16.75
2017-12-31,16.96,$1.10,15.42
2017-09-30,15.08,$1.11,13.59
2017-06-30,20.27,$1.35,15.01
2017-03-31,16.16,$1.49,10.85
2016-12-31,19.75,$1.22,16.19
2016-09-30,15.75,$0.82,19.21
2016-06-30,10.84,$0.48,22.58
2016-03-31,10.73,$0.23,46.66
2015-12-31,7.82,$0.28,27.91
2015-09-30,7.64,$0.38,20.11
2015-06-30,11.13,$0.40,27.84
2015-03-31,12.34,$0.51,24.19
2014-12-31,11.16,$0.60,18.61
2014-09-30,10.33,$0.63,16.4
2014-06-30,10.22,$0.66,15.49
2014-03-31,12.24,$0.70,17.49
2013-12-31,10.41,$0.72,14.46
2013-09-30,9.3,$0.61,15.24
2013-06-30,7.45,$0.58,12.84
2013-03-31,8.17,$0.57,14.33
2012-12-31,7.27,$0.57,12.75
2012-09-30,8.05,$0.60,13.42
2012-06-30,6.78,$0.64,10.59
2012-03-31,6.37,$0.66,9.65
2011-12-31,5.82,$0.66,8.81
2011-09-30,4.5,$0.66,6.82
2011-06-30,5.92,$0.61,9.7
2011-03-31,6.8,$0.57,11.94
2010-12-31,4.98,$0.51,9.77
2010-09-30,5.58,$0.53,10.52
2010-06-30,4.72,$0.52,9.08
2010-03-31,4.49,$0.38,11.81
2009-12-31,4.22,$0.29,14.56
