Cenntro PE Ratio Historical Data,Cenntro PE Ratio Historical Data,Cenntro PE Ratio Historical Data,Cenntro PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.92,,0.0
2024-09-30,1.17,$-0.89,0.0
2024-06-30,1.49,$-0.60,0.0
2024-03-31,1.42,$-0.30,0.0
2023-12-31,1.44,0,0.0
2023-09-30,0.24,0,0.0
2023-06-30,0.29,0,0.0
2023-03-31,0.46,0,0.0
2022-12-31,0.44,0,0.0
2022-09-30,1.03,0,0.0
2022-06-30,1.51,0,0.0
2022-03-31,2.19,0,0.0
2018-04-30,138.0,0,0.0
2018-01-31,143.0,0,0.0
2017-10-31,127.01,0,0.0
2017-07-31,132.0,0,0.0
2017-04-30,194.85,0,0.0
2017-01-31,121.0,0,0.0
2016-10-31,111.0,0,0.0
