NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data,NRG Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.64,,20.33
2024-12-31,90.22,$4.90,18.41
2024-09-30,90.67,$3.98,22.78
2024-06-30,77.07,$9.18,8.4
2024-03-31,66.63,$7.06,9.44
2023-12-31,50.5,$-1.07,0.0
2023-09-30,37.29,$-7.72,0.0
2023-06-30,35.84,$-8.84,0.0
2023-03-31,32.51,$-7.93,0.0
2022-12-31,29.84,$5.06,5.9
2022-09-30,35.61,$7.88,4.52
2022-06-30,35.19,$14.19,2.48
2022-03-31,35.02,$16.43,2.13
2021-12-31,38.99,$8.93,4.37
2021-09-30,36.66,$9.97,3.68
2021-06-30,35.9,$4.39,8.18
2021-03-31,33.31,$1.26,26.43
2020-12-31,32.89,$2.08,15.81
2020-09-30,26.67,$15.65,1.7
2020-06-30,28.0,$16.08,1.74
2020-03-31,23.24,$15.56,1.49
2019-12-31,33.61,$16.79,2.0
2019-09-30,33.46,$3.88,8.62
2019-06-30,29.65,$2.19,13.54
2019-03-31,35.83,$1.67,21.46
2018-12-31,33.38,$0.82,40.71
2018-09-30,31.5,$-3.98,0.0
2018-06-30,25.83,$-3.21,0.0
2018-03-31,25.66,$-5.42,0.0
2017-12-31,23.91,$-6.81,0.0
2017-09-30,21.46,$-5.10,0.0
2017-06-30,14.42,$-4.36,0.0
2017-03-31,15.64,$-2.99,0.0
2016-12-31,10.23,$-2.23,0.0
2016-09-30,9.33,$-18.31,0.0
2016-06-30,12.45,$-19.40,0.0
2016-03-31,10.78,$-18.85,0.0
2015-12-31,9.62,$-19.46,0.0
2015-09-30,12.0,$-0.04,0.0
2015-06-30,18.37,$0.26,70.64
2015-03-31,20.11,$0.02,1005.38
2014-12-31,21.39,$0.21,101.84
2014-09-30,24.07,$-0.97,0.0
2014-06-30,29.25,$-1.08,0.0
2014-03-31,24.9,$-0.39,0.0
2013-12-31,22.39,$-1.23,0.0
2013-09-30,21.22,$1.80,11.79
2013-06-30,20.64,$1.42,14.53
2013-03-31,20.39,$2.11,9.66
2012-12-31,17.63,$2.21,7.98
2012-09-30,16.33,$-0.33,0.0
2012-06-30,13.19,$-0.56,0.0
2012-03-31,11.91,$0.89,13.38
2011-12-31,13.77,$0.75,18.36
2011-09-30,16.12,$1.16,13.9
2011-06-30,18.68,$2.27,8.23
2011-03-31,16.37,$0.55,29.77
2010-12-31,14.85,$1.83,8.12
2010-09-30,15.82,$2.01,7.87
2010-06-30,16.12,$2.16,7.46
2010-03-31,15.88,$2.91,5.46
2009-12-31,17.94,$3.39,5.29
