Nextracker PE Ratio Historical Data,Nextracker PE Ratio Historical Data,Nextracker PE Ratio Historical Data,Nextracker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.97,,11.44
2024-12-31,36.53,$3.93,9.3
2024-09-30,37.48,$4.01,9.35
2024-06-30,46.88,$3.77,12.44
2024-03-31,56.27,$3.36,16.75
2023-12-31,46.85,$1.87,25.05
