Vornado Realty Trust PE Ratio Historical Data,Vornado Realty Trust PE Ratio Historical Data,Vornado Realty Trust PE Ratio Historical Data,Vornado Realty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.63,,965.75
2024-12-31,42.04,$0.04,1051.0
2024-09-30,38.76,$-0.29,0.0
2024-06-30,25.86,$0.09,287.38
2024-03-31,28.3,$0.15,188.69
2023-12-31,27.79,$0.23,120.84
2023-09-30,22.1,$-2.02,0.0
2023-06-30,17.68,$-2.26,0.0
2023-03-31,14.98,$-2.24,0.0
2022-12-31,19.96,$-2.13,0.0
2022-09-30,21.72,$0.50,43.43
2022-06-30,26.3,$0.66,39.86
2022-03-31,41.1,$0.65,63.23
2021-12-31,37.47,$0.53,70.69
2021-09-30,37.16,$-0.62,0.0
2021-06-30,40.77,$-0.54,0.0
2021-03-31,39.2,$-1.82,0.0
2020-12-31,31.83,$-1.81,0.0
2020-09-30,28.24,$0.29,97.38
2020-06-30,31.54,$1.70,18.55
2020-03-31,29.4,$15.29,1.92
2019-12-31,53.46,$16.21,3.3
2019-09-30,49.22,$15.73,3.13
2019-06-30,49.03,$15.04,3.26
2019-03-31,51.59,$3.06,16.86
2018-12-31,46.98,$2.02,23.26
2018-09-30,54.77,$1.63,33.6
2018-06-30,54.98,$0.48,114.55
2018-03-31,49.61,$0.51,97.28
2017-12-31,57.13,$0.85,67.21
2017-09-30,55.72,$4.14,13.46
2017-06-30,54.77,$4.64,11.8
2017-03-31,58.08,$5.19,11.19
2016-12-31,60.03,$4.33,13.86
2016-09-30,57.79,$2.12,27.26
2016-06-30,56.83,$2.82,20.15
2016-03-31,53.25,$2.53,21.05
2015-12-31,55.96,$3.59,15.59
2015-09-30,50.29,$5.09,9.88
2015-06-30,52.45,$4.73,11.09
2015-03-31,61.51,$4.27,14.41
2014-12-31,58.3,$4.15,14.05
2014-09-30,49.18,$1.06,46.4
2014-06-30,52.15,$0.81,64.38
2014-03-31,47.82,$1.18,40.53
2013-12-31,42.74,$2.09,20.45
2013-09-30,40.22,$2.79,14.42
2013-06-30,39.39,$3.59,10.97
2013-03-31,39.53,$2.92,13.54
2012-12-31,37.61,$2.93,12.83
2012-09-30,37.46,$2.97,12.61
2012-06-30,38.57,$1.95,19.78
2012-03-31,38.45,$2.33,16.5
2011-12-31,34.88,$3.20,10.9
2011-09-30,33.65,$4.14,8.13
2011-06-30,41.73,$4.44,9.4
2011-03-31,38.98,$4.27,9.13
2010-12-31,36.91,$3.24,11.39
2010-09-30,37.68,$1.09,34.57
2010-06-30,31.96,$1.26,25.36
2010-03-31,32.96,$0.64,51.51
2009-12-31,30.23,$0.34,88.92
