NetEase PE Ratio Historical Data,NetEase PE Ratio Historical Data,NetEase PE Ratio Historical Data,NetEase PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,99.97,,16.89
2024-09-30,93.05,$5.92,15.72
2024-06-30,94.58,$6.13,15.43
2024-03-31,101.85,$6.45,15.79
2023-12-31,90.81,$6.33,14.35
2023-09-30,97.21,$5.79,16.79
2023-06-30,93.34,$5.57,16.76
2023-03-31,84.95,$5.01,16.96
2022-12-31,69.53,$4.55,15.28
2022-09-30,71.92,$5.01,14.36
2022-06-30,88.45,$4.31,20.52
2022-03-31,84.71,$3.93,21.56
2021-12-31,95.66,$3.88,24.65
2021-09-30,80.1,$2.76,29.02
2021-06-30,107.8,$2.67,40.37
2021-03-31,96.33,$2.84,33.94
2020-12-31,89.3,$2.60,34.29
2020-09-30,84.6,$3.06,27.68
2020-06-30,79.66,$5.15,15.46
2020-03-31,59.38,$4.86,12.21
2019-12-31,56.54,$4.65,12.17
2019-09-30,47.92,$4.36,11.0
2019-06-30,45.85,$1.98,23.14
2019-03-31,43.17,$1.78,24.22
2018-12-31,41.99,$1.41,29.7
2018-09-30,40.72,$1.33,30.66
2018-06-30,44.94,$1.54,29.18
2018-03-31,49.82,$1.71,29.07
2017-12-31,61.24,$2.39,25.62
2017-09-30,46.72,$2.89,16.14
2017-06-30,53.08,$2.94,18.03
2017-03-31,49.96,$2.90,17.21
2016-12-31,37.75,$2.62,14.41
2016-09-30,42.07,$2.32,18.12
2016-06-30,33.64,$2.15,15.66
2016-03-31,24.89,$1.88,13.27
2015-12-31,31.27,$1.61,19.42
2015-09-30,20.65,$1.42,14.57
2015-06-30,24.81,$1.26,19.72
2015-03-31,17.99,$1.21,14.91
2014-12-31,16.88,$1.17,14.4
2014-09-30,14.53,$1.17,12.38
2014-06-30,13.24,$1.15,11.53
2014-03-31,11.32,$1.13,10.05
2013-12-31,12.95,$1.11,11.62
2013-09-30,11.96,$1.05,11.43
2013-06-30,10.41,$0.98,10.62
2013-03-31,9.02,$0.92,9.85
2012-12-31,6.85,$0.88,7.79
2012-09-30,9.05,$0.85,10.62
2012-06-30,9.48,$0.85,11.1
2012-03-31,9.36,$0.83,11.33
2011-12-31,7.23,$0.77,9.38
2011-09-30,6.15,$0.72,8.56
2011-06-30,7.26,$0.65,11.11
2011-03-31,7.98,$0.58,13.71
2010-12-31,5.82,$0.51,11.38
2010-09-30,6.35,$0.47,13.41
2010-06-30,5.11,$0.43,11.94
2010-03-31,5.72,$0.42,13.5
2009-12-31,6.06,$0.42,14.57
