National Bankshares PE Ratio Historical Data,National Bankshares PE Ratio Historical Data,National Bankshares PE Ratio Historical Data,National Bankshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.1,,18.69
2024-09-30,29.19,$1.45,20.13
2024-06-30,27.61,$1.55,17.81
2024-03-31,31.85,$2.26,14.09
2023-12-31,30.84,$2.66,11.6
2023-09-30,23.21,$1.95,11.9
2023-06-30,27.06,$2.46,11.0
2023-03-31,28.41,$2.73,10.41
2022-12-31,35.53,$2.77,12.83
2022-09-30,29.18,$2.77,10.53
2022-06-30,27.14,$2.68,10.13
2022-03-31,31.47,$2.49,12.64
2021-12-31,30.31,$2.42,12.53
2021-09-30,30.13,$2.42,12.45
2021-06-30,29.05,$2.12,13.7
2021-03-31,28.88,$1.84,15.7
2020-12-31,25.47,$1.71,14.89
2020-09-30,20.13,$2.45,8.22
2020-06-30,22.73,$2.46,9.24
2020-03-31,24.77,$2.61,9.49
2019-12-31,34.88,$2.65,13.16
2019-09-30,30.61,$2.57,11.91
2019-06-30,29.76,$2.53,11.76
2019-03-31,32.2,$2.50,12.88
2018-12-31,27.38,$2.32,11.8
2018-09-30,33.68,$2.10,16.04
2018-06-30,34.39,$2.03,16.94
2018-03-31,32.99,$1.96,16.83
2017-12-31,33.28,$2.01,16.56
2017-09-30,32.47,$2.07,15.68
2017-06-30,29.47,$2.08,14.17
2017-03-31,26.75,$2.13,12.56
2016-12-31,30.95,$2.15,14.4
2016-09-30,25.78,$2.16,11.93
2016-06-30,24.47,$2.21,11.07
2016-03-31,23.65,$2.24,10.56
2015-12-31,24.5,$2.27,10.79
2015-09-30,21.06,$2.35,8.96
2015-06-30,19.81,$2.36,8.39
2015-03-31,19.83,$2.36,8.4
2014-12-31,20.2,$2.42,8.35
2014-09-30,18.1,$2.49,7.27
2014-06-30,20.14,$2.53,7.96
2014-03-31,23.4,$2.58,9.07
2013-12-31,23.65,$2.55,9.27
2013-09-30,22.66,$2.56,8.85
2013-06-30,22.43,$2.53,8.87
2013-03-31,21.71,$2.51,8.65
2012-12-31,20.13,$2.55,7.89
2012-09-30,20.25,$2.58,7.85
2012-06-30,18.37,$2.61,7.04
2012-03-31,18.03,$2.60,6.93
2011-12-31,16.72,$2.54,6.58
2011-09-30,14.17,$2.39,5.93
2011-06-30,14.7,$2.32,6.34
2011-03-31,16.67,$2.29,7.28
2010-12-31,18.16,$2.25,8.07
2010-09-30,14.63,$2.25,6.5
2010-06-30,13.74,$2.21,6.22
2010-03-31,15.18,$2.11,7.2
2009-12-31,15.76,$2.06,7.65
