SoundThinking PE Ratio Historical Data,SoundThinking PE Ratio Historical Data,SoundThinking PE Ratio Historical Data,SoundThinking PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.54,,0.0
2024-09-30,11.59,$-0.12,0.0
2024-06-30,12.18,$-0.16,0.0
2024-03-31,15.88,$-0.32,0.0
2023-12-31,25.54,$-0.24,0.0
2023-09-30,17.9,$-0.61,0.0
2023-06-30,21.86,$-0.13,0.0
2023-03-31,39.32,$0.33,119.15
2022-12-31,33.83,$0.51,66.33
2022-09-30,28.76,$0.32,89.88
2022-06-30,26.91,$-0.09,0.0
2022-03-31,27.72,$-0.35,0.0
2021-12-31,29.52,$-0.37,0.0
2021-09-30,36.37,$-0.11,0.0
2021-06-30,48.77,$0.02,2438.5
2021-03-31,35.07,$0.11,318.82
2020-12-31,37.7,$0.10,377.0
2020-09-30,31.04,$0.23,134.96
2020-06-30,25.2,$0.22,114.55
2020-03-31,27.48,$0.18,152.67
2019-12-31,25.5,$0.15,170.0
2019-09-30,23.03,$0.07,329.0
2019-06-30,44.2,$-0.10,0.0
2019-03-31,38.6,$-0.16,0.0
2018-12-31,31.18,$-0.25,0.0
2018-09-30,61.29,$-0.54,0.0
2018-06-30,37.93,$-0.58,0.0
2018-03-31,26.5,$-1.71,0.0
