National Grid Transco PE Ratio Historical Data,National Grid Transco PE Ratio Historical Data,National Grid Transco PE Ratio Historical Data,National Grid Transco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,65.08,,inf
2024-09-30,68.56,0.0,0.0
2024-03-31,67.14,0.0,0.0
2023-09-30,58.59,0.0,0.0
2023-03-31,63.48,0.0,0.0
2022-09-30,47.32,0.0,0.0
2022-03-31,68.56,0.0,0.0
2021-09-30,52.26,0.0,0.0
2021-03-31,50.17,0.0,0.0
2020-09-30,48.03,0.0,0.0
2020-03-31,46.86,0.0,0.0
2019-09-30,42.75,0.0,0.0
2019-03-31,42.35,0.0,0.0
2018-09-30,38.56,0.0,0.0
2018-03-31,40.47,0.0,0.0
2017-09-30,44.2,0.0,0.0
2017-03-31,44.06,0.0,0.0
2016-09-30,48.57,0.0,0.0
2016-03-31,47.42,0.0,0.0
2015-09-30,45.5,0.0,0.0
2015-03-31,40.9,0.0,0.0
2014-09-30,44.8,0.0,0.0
2014-03-31,41.55,0.0,0.0
2013-09-30,35.02,0.0,0.0
2013-03-31,33.23,0.0,0.0
2012-09-30,31.08,0.0,0.0
2012-03-31,27.25,0.0,0.0
2011-09-30,26.19,0.0,0.0
2011-03-31,24.42,0.0,0.0
2010-09-30,21.23,0.0,0.0
