Townsquare Media PE Ratio Historical Data,Townsquare Media PE Ratio Historical Data,Townsquare Media PE Ratio Historical Data,Townsquare Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.86,,0.0
2024-09-30,9.97,$-2.71,0.0
2024-06-30,10.57,$-5.61,0.0
2024-03-31,10.42,$-2.54,0.0
2023-12-31,10.02,$-2.74,0.0
2023-09-30,8.13,$-2.40,0.0
2023-06-30,10.87,0,0.0
2023-03-31,7.19,$0.43,16.72
2022-12-31,6.37,$0.68,9.36
2022-09-30,6.38,$0.55,11.59
2022-06-30,7.19,$1.17,6.15
2022-03-31,11.23,$1.43,7.86
2021-12-31,11.71,$0.97,12.07
2021-09-30,11.48,$1.05,10.93
2021-06-30,11.2,$0.33,33.93
2021-03-31,9.42,$-1.63,0.0
2020-12-31,5.85,$-4.55,0.0
2020-09-30,4.09,$-4.70,0.0
2020-06-30,3.93,$-4.43,0.0
2020-03-31,4.05,$-2.60,0.0
2019-12-31,8.76,$0.50,17.51
2019-09-30,6.17,$-0.09,0.0
2019-06-30,4.68,$-0.05,0.0
2019-03-31,4.84,$-0.35,0.0
2018-12-31,3.45,$-1.62,0.0
2018-09-30,6.5,$-2.50,0.0
2018-06-30,5.32,$-2.33,0.0
2018-03-31,6.45,$-2.20,0.0
2017-12-31,6.19,$-0.92,0.0
2017-09-30,8.06,$0.66,12.21
2017-06-30,8.25,$0.73,11.31
2017-03-31,9.82,$0.73,13.45
2016-12-31,8.39,$0.81,10.36
2016-09-30,7.53,$0.79,9.53
2016-06-30,6.36,$0.81,7.85
2016-03-31,9.04,$0.11,82.15
2015-12-31,9.64,$0.19,50.74
2015-09-30,7.88,$0.73,10.79
2015-06-30,10.95,$0.29,37.75
