Seacoast Banking Of Florida PE Ratio Historical Data,Seacoast Banking Of Florida PE Ratio Historical Data,Seacoast Banking Of Florida PE Ratio Historical Data,Seacoast Banking Of Florida PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.08,,18.24
2024-12-31,27.53,$1.43,19.25
2024-09-30,26.49,$1.38,19.19
2024-06-30,23.34,$1.39,16.79
2024-03-31,24.87,$1.40,17.76
2023-12-31,27.66,$1.24,22.31
2023-09-30,21.21,$1.23,17.25
2023-06-30,21.18,$1.33,15.93
2023-03-31,22.54,$1.49,15.13
2022-12-31,29.46,$1.67,17.64
2022-09-30,28.39,$1.95,14.56
2022-06-30,30.86,$1.88,16.42
2022-03-31,32.54,$1.91,17.04
2021-12-31,32.77,$2.18,15.03
2021-09-30,31.18,$2.09,14.92
2021-06-30,31.36,$2.11,14.86
2021-03-31,33.16,$2.02,16.41
2020-12-31,26.94,$1.43,18.84
2020-09-30,16.5,$1.42,11.62
2020-06-30,18.66,$1.49,12.53
2020-03-31,16.75,$1.47,11.4
2019-12-31,27.97,$1.90,14.72
2019-09-30,23.16,$1.69,13.7
2019-06-30,23.28,$1.54,15.11
2019-03-31,24.11,$1.44,16.74
2018-12-31,23.81,$1.38,17.25
2018-09-30,26.72,$1.35,19.79
2018-06-30,28.89,$1.33,21.72
2018-03-31,24.22,$1.16,20.88
2017-12-31,23.07,$0.98,23.54
2017-09-30,21.86,$0.98,22.3
2017-06-30,22.05,$0.90,24.5
2017-03-31,21.94,$0.86,25.51
2016-12-31,20.18,$0.75,26.91
2016-09-30,14.72,$0.65,22.65
2016-06-30,14.86,$0.54,27.52
2016-03-31,14.45,$0.58,24.91
2015-12-31,13.71,$0.67,20.46
2015-09-30,13.43,$0.44,30.52
2015-06-30,14.46,$0.43,33.62
2015-03-31,13.06,$0.32,40.8
2014-12-31,12.58,$0.23,54.7
2014-09-30,10.0,$0.31,32.26
2014-06-30,9.95,$2.54,3.92
2014-03-31,10.06,$2.57,3.92
2013-12-31,11.16,$2.53,4.41
2013-09-30,9.93,$2.45,4.05
2013-06-30,10.06,$0.05,201.28
2013-03-31,9.56,$-0.20,0.0
2012-12-31,7.37,$-0.25,0.0
2012-09-30,7.27,$-0.10,0.0
2012-06-30,6.82,$0.05,136.32
2012-03-31,8.05,$0.20,40.26
2011-12-31,6.95,$0.15,46.36
2011-09-30,6.72,$-0.55,0.0
2011-06-30,6.86,$-1.10,0.0
2011-03-31,7.23,$-2.35,0.0
2010-12-31,6.68,$-2.50,0.0
2010-09-30,5.58,$-5.35,0.0
2010-06-30,6.08,$-10.95,0.0
2010-03-31,7.73,$-13.40,0.0
2009-12-31,7.46,$-14.70,0.0
