MeiraGTx Holdings PE Ratio Historical Data,MeiraGTx Holdings PE Ratio Historical Data,MeiraGTx Holdings PE Ratio Historical Data,MeiraGTx Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.65,,0.0
2024-12-31,6.09,$-1.63,0.0
2024-09-30,4.17,$-1.21,0.0
2024-06-30,4.21,$-1.40,0.0
2024-03-31,6.07,$-1.17,0.0
2023-12-31,7.02,$-1.47,0.0
2023-09-30,4.91,$-2.47,0.0
2023-06-30,6.72,$-2.56,0.0
2023-03-31,5.17,$-2.79,0.0
2022-12-31,6.52,$-2.87,0.0
2022-09-30,8.41,$-2.51,0.0
2022-06-30,7.57,$-2.27,0.0
2022-03-31,13.85,$-1.97,0.0
2021-12-31,23.74,$-1.81,0.0
2021-09-30,13.18,$-1.84,0.0
2021-06-30,15.5,$-1.42,0.0
2021-03-31,14.43,$-1.65,0.0
2020-12-31,15.14,$-1.54,0.0
2020-09-30,13.24,$-1.41,0.0
2020-06-30,12.52,$-1.54,0.0
2020-03-31,13.44,$-1.48,0.0
2019-12-31,20.02,$-1.67,0.0
2019-09-30,15.95,$-2.13,0.0
2019-06-30,26.88,$-2.42,0.0
2019-03-31,17.23,$-4.08,0.0
