COMPASS Pathways PE Ratio Historical Data,COMPASS Pathways PE Ratio Historical Data,COMPASS Pathways PE Ratio Historical Data,COMPASS Pathways PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.97,,0.0
2024-12-31,3.78,$-2.30,0.0
2024-09-30,6.3,$-2.20,0.0
2024-06-30,6.04,$-2.31,0.0
2024-03-31,8.32,$-2.37,0.0
2023-12-31,8.75,$-2.39,0.0
2023-09-30,7.4,$-2.59,0.0
2023-06-30,8.28,$-2.35,0.0
2023-03-31,9.93,$-2.23,0.0
2022-12-31,8.03,$-2.16,0.0
2022-09-30,10.73,$-2.04,0.0
2022-06-30,10.82,$-1.99,0.0
2022-03-31,12.89,$-1.93,0.0
2021-12-31,22.1,$-1.78,0.0
2021-09-30,29.87,$-1.69,0.0
2021-06-30,38.15,$-2.61,0.0
