Great Elm PE Ratio Historical Data,Great Elm PE Ratio Historical Data,Great Elm PE Ratio Historical Data,Great Elm PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.94,,0.0
2024-12-31,1.81,$-0.00,0.0
2024-09-30,1.91,$-0.05,0.0
2024-06-30,1.8,$-0.05,0.0
2024-03-31,1.92,$-0.03,0.0
2023-12-31,1.94,$0.47,4.13
2023-09-30,2.14,$-0.26,0.0
2023-06-30,2.05,$-0.63,0.0
2023-03-31,2.27,$-0.81,0.0
2022-12-31,2.02,$-1.43,0.0
2022-09-30,2.0,$-0.85,0.0
2022-06-30,2.15,$-0.57,0.0
2022-03-31,1.81,$-0.43,0.0
2021-12-31,2.09,$-0.32,0.0
2021-09-30,2.24,$-0.17,0.0
2021-06-30,2.25,$-0.31,0.0
2021-03-31,2.44,$-0.13,0.0
2020-12-31,2.88,$-0.48,0.0
2020-09-30,2.36,$-0.54,0.0
2020-06-30,2.33,$-0.51,0.0
2020-03-31,1.86,$-0.65,0.0
2019-12-31,3.34,$-0.02,0.0
2019-09-30,3.67,$-0.12,0.0
2019-06-30,4.3,$-0.08,0.0
2019-03-31,4.25,$-0.18,0.0
2018-12-31,3.38,$-0.53,0.0
2018-09-30,3.25,$-0.41,0.0
2018-06-30,3.6,$-0.46,0.0
2018-03-31,4.0,$-0.39,0.0
2017-12-31,4.05,$-0.32,0.0
2017-09-30,3.55,$-1.06,0.0
