Esperion Therapeutics PE Ratio Historical Data,Esperion Therapeutics PE Ratio Historical Data,Esperion Therapeutics PE Ratio Historical Data,Esperion Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.62,,0.0
2024-12-31,2.2,$-0.25,0.0
2024-09-30,1.65,$-0.64,0.0
2024-06-30,2.22,$-0.86,0.0
2024-03-31,2.68,$-0.99,0.0
2023-12-31,2.99,$-2.12,0.0
2023-09-30,0.98,$-2.38,0.0
2023-06-30,1.39,$-2.82,0.0
2023-03-31,1.59,$-3.41,0.0
2022-12-31,6.23,$-3.55,0.0
2022-09-30,6.7,$-4.56,0.0
2022-06-30,6.36,$-6.37,0.0
2022-03-31,4.64,$-6.99,0.0
2021-12-31,5.0,$-9.56,0.0
2021-09-30,12.05,$-11.68,0.0
2021-06-30,21.15,$-12.13,0.0
2021-03-31,28.05,$-6.14,0.0
2020-12-31,26.0,$-5.48,0.0
2020-09-30,37.17,$-3.85,0.0
2020-06-30,51.31,$-3.30,0.0
2020-03-31,31.53,$-9.63,0.0
2019-12-31,59.63,$-3.72,0.0
2019-09-30,36.66,$-3.70,0.0
2019-06-30,46.52,$-3.04,0.0
2019-03-31,40.15,$-2.74,0.0
2018-12-31,46.0,$-7.54,0.0
2018-09-30,44.37,$-6.74,0.0
2018-06-30,39.19,$-6.74,0.0
2018-03-31,72.33,$-6.95,0.0
2017-12-31,65.84,$-7.02,0.0
2017-09-30,50.12,$-6.87,0.0
2017-06-30,46.28,$-5.78,0.0
2017-03-31,35.31,$-4.48,0.0
2016-12-31,12.52,$-3.33,0.0
2016-09-30,13.85,$-2.62,0.0
2016-06-30,9.88,$-2.42,0.0
2016-03-31,16.91,$-2.35,0.0
2015-12-31,22.26,$-2.26,0.0
2015-09-30,23.59,$-2.17,0.0
2015-06-30,81.76,$-2.24,0.0
2015-03-31,92.6,$-2.29,0.0
2014-12-31,40.44,$-2.24,0.0
2014-09-30,24.46,$-2.38,0.0
2014-06-30,15.84,$-2.08,0.0
2014-03-31,15.12,$-21.30,0.0
