S&T Bancorp PE Ratio Historical Data,S&T Bancorp PE Ratio Historical Data,S&T Bancorp PE Ratio Historical Data,S&T Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.24,,10.92
2024-12-31,38.22,$3.41,11.21
2024-09-30,41.63,$3.51,11.86
2024-06-30,32.85,$3.53,9.31
2024-03-31,31.23,$3.53,8.85
2023-12-31,32.2,$3.74,8.61
2023-09-30,25.77,$3.81,6.77
2023-06-30,25.62,$3.89,6.58
2023-03-31,29.27,$3.74,7.83
2022-12-31,31.54,$3.47,9.09
2022-09-30,26.82,$3.01,8.91
2022-06-30,24.85,$2.76,9.0
2022-03-31,26.53,$2.74,9.68
2021-12-31,28.01,$2.80,10.0
2021-09-30,25.95,$2.85,9.1
2021-06-30,27.29,$2.58,10.58
2021-03-31,28.97,$1.01,28.68
2020-12-31,21.27,$0.54,39.39
2020-09-30,14.93,$0.54,27.65
2020-06-30,19.54,$0.90,21.71
2020-03-31,22.49,$2.51,8.96
2019-12-31,32.92,$2.83,11.63
2019-09-30,29.64,$2.98,9.94
2019-06-30,30.19,$3.07,9.83
2019-03-31,31.63,$2.92,10.83
2018-12-31,30.07,$3.01,9.99
2018-09-30,34.23,$2.51,13.64
2018-06-30,33.94,$2.28,14.89
2018-03-31,31.17,$2.32,13.44
2017-12-31,30.9,$2.09,14.78
2017-09-30,30.55,$2.33,13.11
2017-06-30,27.54,$2.27,12.13
2017-03-31,26.42,$2.11,12.52
2016-12-31,29.65,$2.05,14.46
2016-09-30,21.87,$2.04,10.72
2016-06-30,18.31,$1.99,9.2
2016-03-31,19.14,$2.02,9.48
2015-12-31,22.73,$1.97,11.54
2015-09-30,23.91,$1.96,12.2
2015-06-30,21.57,$1.91,11.3
2015-03-31,20.55,$1.88,10.93
2014-12-31,21.45,$1.94,11.06
2014-09-30,16.77,$1.85,9.07
2014-06-30,17.64,$1.77,9.97
2014-03-31,16.71,$1.75,9.55
2013-12-31,17.71,$1.70,10.42
2013-09-30,16.84,$1.62,10.39
2013-06-30,13.54,$1.64,8.26
2013-03-31,12.71,$1.47,8.65
2012-12-31,12.29,$1.17,10.5
2012-09-30,11.87,$1.18,10.06
2012-06-30,12.34,$1.19,10.37
2012-03-31,14.38,$1.37,10.49
2011-12-31,12.87,$1.42,9.07
2011-09-30,10.55,$1.50,7.04
2011-06-30,12.04,$1.45,8.31
2011-03-31,13.87,$1.25,11.1
2010-12-31,14.43,$1.43,10.09
2010-09-30,11.04,$1.30,8.5
2010-06-30,12.44,$1.19,10.45
2010-03-31,13.07,$0.54,24.21
2009-12-31,10.55,$0.08,131.91
