Catalyst Bancorp PE Ratio Historical Data,Catalyst Bancorp PE Ratio Historical Data,Catalyst Bancorp PE Ratio Historical Data,Catalyst Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.56,,0.0
2024-09-30,11.4,$-0.82,0.0
2024-06-30,11.58,$-0.90,0.0
2024-03-31,11.85,$-1.02,0.0
2023-12-31,10.84,$0.14,77.43
2023-09-30,12.06,$0.10,120.6
2023-06-30,11.03,$0.10,110.3
2023-03-31,11.5,$0.10,115.0
2022-12-31,12.7,$0.05,254.0
2022-09-30,12.4,$0.03,413.33
