PVH PE Ratio Historical Data,PVH PE Ratio Historical Data,PVH PE Ratio Historical Data,PVH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,64.83,,5.28
2024-10-31,98.43,$12.28,8.02
2024-07-31,101.91,$12.60,8.09
2024-04-30,108.72,$11.30,9.62
2024-01-31,120.14,$10.85,11.07
2023-10-31,74.24,$8.48,8.76
2023-07-31,89.47,$2.94,30.43
2023-04-30,85.61,$3.16,27.09
2023-01-31,89.65,$2.96,30.29
2022-10-31,51.15,$6.31,8.11
2022-07-31,61.67,$13.08,4.71
2022-04-30,72.44,$13.87,5.22
2022-01-31,94.52,$13.31,7.1
2021-10-31,108.74,$6.97,15.6
2021-07-31,104.05,$4.06,25.63
2021-04-30,112.57,$0.83,135.62
2021-01-31,84.8,$-15.92,0.0
2020-10-31,57.97,$-16.04,0.0
2020-07-31,48.4,$-14.20,0.0
2020-04-30,48.96,$-10.90,0.0
2020-01-31,86.6,$5.55,15.6
2019-10-31,86.56,$8.57,10.1
2019-07-31,88.26,$8.90,9.92
2019-04-30,127.99,$8.44,15.17
2019-01-31,108.23,$9.65,11.22
2018-10-31,119.78,$8.95,13.38
2018-07-31,152.2,$8.85,17.2
2018-04-30,158.26,$8.25,19.18
2018-01-31,153.67,$6.85,22.43
2017-10-31,125.62,$6.72,18.69
2017-07-31,118.13,$5.23,22.59
2017-04-30,100.01,$4.82,20.75
2017-01-31,92.83,$6.76,13.73
2016-10-31,105.82,$7.13,14.84
2016-07-31,99.93,$8.24,12.13
2016-04-30,94.49,$8.35,11.32
2016-01-31,72.49,$6.89,10.52
2015-10-31,89.81,$5.88,15.27
2015-07-31,114.55,$5.92,19.35
2015-04-30,101.99,$6.22,16.4
2015-01-31,108.77,$5.27,20.64
2014-10-31,112.77,$4.19,26.91
2014-07-31,108.62,$3.85,28.21
2014-04-30,123.76,$2.13,58.1
2014-01-31,119.09,$1.46,81.57
2013-10-31,122.7,$3.01,40.77
2013-07-31,129.78,$2.88,45.06
2013-04-30,113.61,$4.27,26.61
2013-01-31,116.98,$5.79,20.2
2012-10-31,108.2,$5.81,18.62
2012-07-31,78.11,$5.11,15.28
2012-04-30,87.28,$4.84,18.03
2012-01-31,75.84,$4.36,17.39
2011-10-31,73.07,$3.97,18.4
2011-07-31,70.21,$3.55,19.78
2011-04-30,69.06,$1.80,38.37
2011-01-31,57.21,$0.48,119.2
2010-10-31,60.09,$0.27,222.54
2010-07-31,50.79,$0.73,69.58
2010-04-30,61.63,$2.07,29.77
2010-01-31,38.41,$3.08,12.47
2009-10-31,39.21,$1.83,21.43
