Kingstone PE Ratio Historical Data,Kingstone PE Ratio Historical Data,Kingstone PE Ratio Historical Data,Kingstone PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.83,,15.22
2024-12-31,15.19,$1.04,14.61
2024-09-30,9.15,$1.30,7.04
2024-06-30,5.0,$0.42,11.9
2024-03-31,4.45,0,0.0
2023-12-31,2.13,$-0.59,0.0
2023-09-30,1.79,$-1.22,0.0
2023-06-30,1.17,$-1.27,0.0
2023-03-31,1.34,$-1.73,0.0
2022-12-31,1.35,$-2.13,0.0
2022-09-30,2.66,$-1.55,0.0
2022-06-30,3.9,$-2.18,0.0
2022-03-31,5.22,$-1.55,0.0
2021-12-31,4.87,$-0.71,0.0
2021-09-30,6.41,$-0.64,0.0
2021-06-30,7.49,$0.25,29.97
2021-03-31,8.16,$0.56,14.57
2020-12-31,6.32,$0.09,70.22
2020-09-30,5.56,$-0.06,0.0
2020-06-30,4.15,$-0.10,0.0
2020-03-31,4.75,$-0.38,0.0
2019-12-31,7.14,$-0.56,0.0
2019-09-30,7.78,$-0.77,0.0
2019-06-30,7.84,$-0.25,0.0
2019-03-31,13.22,$-0.15,0.0
2018-12-31,15.77,$0.28,56.34
2018-09-30,16.94,$0.54,31.38
2018-06-30,14.99,$0.56,26.77
2018-03-31,14.82,$0.54,27.44
2017-12-31,16.5,$0.94,17.55
2017-09-30,14.25,$1.02,13.97
2017-06-30,13.3,$1.07,12.43
2017-03-31,13.79,$1.20,11.49
2016-12-31,11.84,$1.12,10.57
2016-09-30,7.91,$1.11,7.12
2016-06-30,7.53,$1.00,7.53
2016-03-31,6.98,$0.96,7.27
2015-12-31,7.55,$0.94,8.03
2015-09-30,7.2,$0.93,7.74
2015-06-30,6.3,$0.87,7.24
2015-03-31,6.2,$0.73,8.49
2014-12-31,6.66,$0.72,9.25
2014-09-30,6.58,$0.49,13.42
2014-06-30,5.38,$0.66,8.16
2014-03-31,5.59,$0.50,11.18
2013-12-31,5.8,$0.51,11.37
2013-09-30,4.17,$0.11,37.95
2013-06-30,4.1,$-0.09,0.0
2013-03-31,4.45,$0.04,111.14
2012-12-31,3.77,$0.19,19.82
2012-09-30,3.91,$0.94,4.16
2012-06-30,3.99,$0.77,5.18
2012-03-31,2.41,$0.82,2.93
2011-12-31,2.69,$0.65,4.14
2011-09-30,2.58,$0.29,8.91
2011-06-30,2.2,$0.28,7.85
2011-03-31,2.27,$0.19,11.96
2010-12-31,2.57,$0.24,10.72
2010-09-30,1.78,$0.24,7.42
2010-06-30,2.13,$1.93,1.1
2010-03-31,2.21,$1.74,1.27
2009-12-31,1.83,$1.60,1.14
