Lifeward PE Ratio Historical Data,Lifeward PE Ratio Historical Data,Lifeward PE Ratio Historical Data,Lifeward PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.87,,0.0
2024-12-31,1.73,$-3.31,0.0
2024-09-30,3.26,$-2.49,0.0
2024-06-30,4.01,$-3.05,0.0
2024-03-31,5.23,$-3.11,0.0
2023-12-31,5.44,$-2.87,0.0
2023-09-30,5.32,$-2.59,0.0
2023-06-30,4.2,$-2.31,0.0
2023-03-31,5.04,$-2.24,0.0
2022-12-31,5.32,$-2.24,0.0
2022-09-30,6.22,$-2.03,0.0
2022-06-30,6.58,$-1.82,0.0
2022-03-31,8.12,$-1.82,0.0
2021-12-31,8.61,$-1.89,0.0
2021-09-30,10.57,$-2.45,0.0
2021-06-30,11.83,$-3.29,0.0
2021-03-31,16.94,$-4.34,0.0
2020-12-31,9.24,$-6.37,0.0
2020-09-30,7.56,$-8.82,0.0
2020-06-30,12.32,$-10.78,0.0
2020-03-31,3.02,$-15.40,0.0
2019-12-31,15.12,$-21.55,0.0
2019-09-30,21.42,$-35.62,0.0
2019-06-30,30.45,$-55.14,0.0
2019-03-31,37.82,$-80.48,0.0
2018-12-31,30.47,$-108.47,0.0
2018-09-30,155.75,$-134.71,0.0
2018-06-30,171.48,$-159.20,0.0
2018-03-31,192.5,$-192.44,0.0
2017-12-31,192.5,$-223.93,0.0
2017-09-30,253.75,$-278.17,0.0
2017-06-30,306.25,$-339.40,0.0
2017-03-31,367.5,$-404.13,0.0
2016-12-31,490.0,$-433.87,0.0
2016-09-30,1013.25,$-444.37,0.0
2016-06-30,1134.0,$-428.62,0.0
2016-03-31,1645.0,$-383.14,0.0
2015-12-31,2532.25,$-369.14,0.0
2015-09-30,1344.0,$-341.15,0.0
2015-06-30,1951.25,$-740.03,0.0
