Asure Software Inc PE Ratio Historical Data,Asure Software Inc PE Ratio Historical Data,Asure Software Inc PE Ratio Historical Data,Asure Software Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.5,,0.0
2024-12-31,9.41,$-0.45,0.0
2024-09-30,9.05,$-0.47,0.0
2024-06-30,8.4,$-0.42,0.0
2024-03-31,7.78,$-0.43,0.0
2023-12-31,9.52,$-0.40,0.0
2023-09-30,9.46,$-0.31,0.0
2023-06-30,12.16,$-0.43,0.0
2023-03-31,14.5,$-0.54,0.0
2022-12-31,9.34,$-0.71,0.0
2022-09-30,5.72,$-0.88,0.0
2022-06-30,5.7,$-0.38,0.0
2022-03-31,5.95,$0.11,54.09
2021-12-31,7.83,$0.18,43.5
2021-09-30,9.01,$0.04,225.25
2021-06-30,8.87,$-0.54,0.0
2021-03-31,7.64,$-0.99,0.0
2020-12-31,7.1,$-1.02,0.0
2020-09-30,7.55,$2.00,3.78
2020-06-30,6.43,$2.08,3.09
2020-03-31,5.96,$2.01,2.97
2019-12-31,8.18,$1.93,4.24
2019-09-30,6.71,$-0.62,0.0
2019-06-30,8.23,$-0.64,0.0
2019-03-31,6.11,$-0.61,0.0
2018-12-31,5.08,$-0.57,0.0
2018-09-30,12.42,$-0.80,0.0
2018-06-30,15.95,$-0.66,0.0
2018-03-31,12.24,$-0.55,0.0
2017-12-31,14.12,$-0.52,0.0
2017-09-30,12.42,$-0.38,0.0
2017-06-30,14.61,$-0.23,0.0
2017-03-31,10.28,$-0.03,0.0
2016-12-31,8.51,$-0.16,0.0
2016-09-30,6.43,$-0.31,0.0
2016-06-30,4.71,$-0.45,0.0
2016-03-31,5.36,$-0.45,0.0
2015-12-31,4.51,$-0.28,0.0
2015-09-30,5.62,$-0.14,0.0
2015-06-30,6.07,$-0.02,0.0
2015-03-31,5.76,$-0.04,0.0
2014-12-31,5.63,$-0.05,0.0
2014-09-30,5.05,$-0.08,0.0
2014-06-30,6.04,$-0.09,0.0
2014-03-31,6.64,$-0.19,0.0
2013-12-31,5.61,$-0.31,0.0
2013-09-30,4.32,$-0.41,0.0
2013-06-30,5.78,$-0.66,0.0
2013-03-31,6.39,$-0.62,0.0
2012-12-31,5.87,$-0.59,0.0
2012-09-30,6.95,$-0.61,0.0
2012-06-30,4.15,$-0.37,0.0
2012-03-31,5.26,$-0.31,0.0
2011-12-31,4.25,$-0.14,0.0
2011-09-30,2.18,$0.01,162.66
2011-06-30,1.93,$0.01,0.0
2011-03-31,1.8,$-0.22,0.0
2010-12-31,1.95,$-0.25,0.0
2010-09-30,1.73,$-0.26,0.0
2010-06-30,1.47,$-0.26,0.0
2010-03-31,1.59,$-0.37,0.0
2009-12-31,1.93,$-0.33,0.0
2009-10-31,1.33,$-1.47,0.0
2009-09-30,2.67,$-1.47,0.0
2009-07-31,1.07,$-1.40,0.0
2009-06-30,1.73,$-1.40,0.0
