Candel Therapeutics PE Ratio Historical Data,Candel Therapeutics PE Ratio Historical Data,Candel Therapeutics PE Ratio Historical Data,Candel Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.25,,0.0
2024-12-31,8.68,$-1.35,0.0
2024-09-30,6.93,$-1.73,0.0
2024-06-30,6.2,$-1.69,0.0
2024-03-31,1.58,$-1.28,0.0
2023-12-31,1.47,$-1.30,0.0
2023-09-30,0.92,$-1.10,0.0
2023-06-30,1.26,$-1.11,0.0
2023-03-31,1.35,$-0.92,0.0
2022-12-31,1.79,$-0.65,0.0
2022-09-30,3.14,$-0.42,0.0
2022-06-30,3.24,$-0.81,0.0
