McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data,McCormick PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,80.7,,27.54
2024-11-30,78.41,$2.93,26.76
2024-08-31,79.61,$2.94,27.08
2024-05-31,71.41,$2.74,26.06
2024-02-29,67.71,$2.62,25.84
2023-11-30,63.36,$2.52,25.14
2023-08-31,79.73,$2.40,33.22
2023-05-31,82.9,$2.59,32.01
2023-02-28,71.54,$2.47,28.96
2022-11-30,81.61,$2.52,32.39
2022-08-31,80.15,$2.56,31.31
2022-05-31,88.0,$2.53,34.78
2022-02-28,89.99,$2.77,32.49
2021-11-30,80.84,$2.80,28.87
2021-08-31,80.94,$2.81,28.8
2021-05-31,83.21,$2.79,29.88
2021-02-28,78.44,$2.84,27.67
2020-11-30,86.7,$2.78,31.24
2020-08-31,95.31,$2.83,33.68
2020-05-31,80.68,$2.78,29.02
2020-02-29,67.07,$2.61,25.7
2019-11-30,77.37,$2.63,29.47
2019-08-31,74.2,$2.63,28.21
2019-05-31,70.84,$2.57,27.62
2019-02-28,61.5,$2.47,24.9
2018-11-30,67.57,$3.51,19.28
2018-08-31,56.04,$3.37,16.65
2018-05-31,45.12,$3.14,14.37
2018-02-28,47.47,$3.07,15.46
2017-11-30,45.2,$1.85,24.43
2017-08-31,41.88,$1.81,23.14
2017-05-31,45.62,$1.89,24.2
2017-02-28,42.91,$1.86,23.13
2016-11-30,39.56,$1.85,21.39
2016-08-31,44.03,$1.81,24.33
2016-05-31,41.75,$1.69,24.7
2016-02-29,39.94,$1.65,24.21
2015-11-30,36.62,$1.56,23.47
2015-08-31,33.62,$1.55,21.69
2015-05-31,33.13,$1.64,20.2
2015-02-28,31.64,$1.64,19.35
2014-11-30,31.04,$1.67,18.59
2014-08-31,28.94,$1.59,18.2
2014-05-31,29.88,$1.51,19.79
2014-02-28,27.29,$1.49,18.38
2013-11-30,28.21,$1.46,19.32
2013-08-31,27.51,$1.53,18.04
2013-05-31,27.96,$1.53,18.33
2013-02-28,27.09,$1.53,17.71
2012-11-30,25.86,$1.52,17.02
2012-08-31,24.49,$1.46,16.83
2012-05-31,22.35,$1.41,15.85
2012-02-29,19.9,$1.39,14.37
2011-11-30,19.09,$1.40,13.68
2011-08-31,18.62,$1.40,13.3
2011-05-31,19.45,$1.44,13.55
2011-02-28,18.35,$1.41,13.06
2010-11-30,16.85,$1.38,12.25
2010-08-31,15.17,$1.32,11.54
2010-05-31,14.58,$1.22,11.95
2010-02-28,13.93,$1.17,11.96
2009-11-30,13.3,$1.13,11.77
