Zentalis Pharmaceuticals PE Ratio Historical Data,Zentalis Pharmaceuticals PE Ratio Historical Data,Zentalis Pharmaceuticals PE Ratio Historical Data,Zentalis Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.82,,0.0
2024-09-30,3.68,$-2.49,0.0
2024-06-30,4.09,$-2.72,0.0
2024-03-31,15.76,$-3.33,0.0
2023-12-31,15.15,$-4.54,0.0
2023-09-30,20.06,$-4.63,0.0
2023-06-30,28.21,$-4.80,0.0
2023-03-31,17.2,$-4.29,0.0
2022-12-31,20.14,$-4.53,0.0
2022-09-30,21.66,$-4.72,0.0
2022-06-30,28.1,$-3.85,0.0
2022-03-31,46.14,$-3.85,0.0
2021-12-31,84.06,$-3.78,0.0
2021-09-30,66.64,$-3.68,0.0
2021-06-30,53.2,$-4.50,0.0
2021-03-31,43.39,$-3.94,0.0
