Universal Logistics Holdings PE Ratio Historical Data,Universal Logistics Holdings PE Ratio Historical Data,Universal Logistics Holdings PE Ratio Historical Data,Universal Logistics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,26.69,,5.36
2024-09-30,43.02,$4.98,8.64
2024-06-30,40.41,$4.85,8.33
2024-03-31,36.62,$4.58,7.99
2023-12-31,27.74,$3.54,7.84
2023-09-30,24.83,$4.00,6.21
2023-06-30,28.3,$4.96,5.7
2023-03-31,28.53,$5.75,4.96
2022-12-31,32.62,$6.36,5.13
2022-09-30,30.85,$5.69,5.42
2022-06-30,26.49,$4.23,6.26
2022-03-31,19.47,$3.49,5.58
2021-12-31,18.12,$2.73,6.64
2021-09-30,19.19,$2.73,7.03
2021-06-30,22.16,$2.85,7.77
2021-03-31,24.92,$2.13,11.7
2020-12-31,19.41,$1.78,10.91
2020-09-30,19.57,$1.50,13.05
2020-06-30,16.31,$0.70,23.3
2020-03-31,12.29,$1.17,10.51
2019-12-31,17.67,$1.33,13.28
2019-09-30,21.58,$1.33,16.23
2019-06-30,20.62,$2.16,9.55
2019-03-31,18.06,$2.08,8.68
2018-12-31,16.44,$1.84,8.93
2018-09-30,33.32,$2.38,14.0
2018-06-30,23.69,$1.73,13.69
2018-03-31,19.0,$1.21,15.7
2017-12-31,21.27,$0.99,21.48
2017-09-30,18.26,$0.23,79.37
2017-06-30,13.32,$0.53,25.14
2017-03-31,12.68,$0.75,16.91
