EVERSPIN TECH PE Ratio Historical Data,EVERSPIN TECH PE Ratio Historical Data,EVERSPIN TECH PE Ratio Historical Data,EVERSPIN TECH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.2,,260.0
2024-12-31,6.39,$0.02,319.5
2024-09-30,5.9,$0.06,98.33
2024-06-30,5.99,$0.07,85.57
2024-03-31,7.92,$0.37,21.41
2023-12-31,9.04,$0.42,21.52
2023-09-30,9.83,$0.35,28.09
2023-06-30,9.21,$0.33,27.91
2023-03-31,6.81,$0.23,29.61
2022-12-31,5.56,$0.28,19.86
2022-09-30,5.79,$0.45,12.87
2022-06-30,5.24,$0.40,13.1
2022-03-31,8.71,$0.33,26.39
2021-12-31,11.3,$0.22,51.36
2021-09-30,6.48,$-0.05,0.0
2021-06-30,6.43,$-0.30,0.0
2021-03-31,6.0,$-0.38,0.0
2020-12-31,4.6,$-0.46,0.0
2020-09-30,5.67,$-0.55,0.0
2020-06-30,7.02,$-0.55,0.0
2020-03-31,2.62,$-0.27,0.0
2019-12-31,5.26,$-0.42,0.0
2019-09-30,6.13,$-0.45,0.0
2019-06-30,6.52,$-0.57,0.0
2019-03-31,7.66,$-1.18,0.0
2018-12-31,5.61,$-1.02,0.0
2018-09-30,7.68,$-1.17,0.0
2018-06-30,8.92,$-1.27,0.0
2018-03-31,7.55,$-1.29,0.0
2017-12-31,7.5,$-1.69,0.0
2017-09-30,17.09,$-1.82,0.0
