TAT Technologies PE Ratio Historical Data,TAT Technologies PE Ratio Historical Data,TAT Technologies PE Ratio Historical Data,TAT Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.78,,33.49
2024-09-30,18.34,$0.74,24.78
2024-06-30,14.9,$0.72,20.69
2024-03-31,12.11,$0.62,19.53
2023-12-31,10.15,$0.50,20.3
2023-09-30,8.6,$0.52,16.54
2023-06-30,7.45,$0.24,31.04
2023-03-31,6.17,$0.08,77.13
2022-12-31,5.3,$-0.16,0.0
2022-09-30,5.97,$-0.22,0.0
2022-06-30,5.7,$-0.29,0.0
2022-03-31,6.39,$-0.56,0.0
2021-12-31,6.31,$-0.32,0.0
2021-09-30,5.83,$-0.32,0.0
2021-06-30,5.96,$-0.37,0.0
2021-03-31,5.14,$-0.35,0.0
2020-12-31,4.53,$-0.37,0.0
2020-09-30,4.93,$-0.32,0.0
2020-06-30,3.96,$-0.14,0.0
2020-03-31,3.48,$0.13,26.76
2019-12-31,5.05,$0.09,56.13
2019-09-30,4.84,$-0.16,0.0
2019-06-30,5.71,$-0.24,0.0
2019-03-31,6.08,$-0.41,0.0
2018-12-31,6.15,$-0.50,0.0
2018-09-30,6.9,$-0.33,0.0
2018-06-30,7.75,$-0.17,0.0
2018-03-31,8.7,$0.06,145.0
2017-12-31,10.5,$0.28,37.5
2017-09-30,11.2,$0.49,22.86
2017-06-30,10.2,$0.49,20.82
2017-03-31,9.53,$0.14,68.04
2016-12-31,8.51,$0.01,0.0
2016-09-30,7.57,$0.17,44.54
2016-06-30,6.82,$0.09,75.81
2016-03-31,6.83,$0.45,15.18
2015-12-31,6.93,$0.66,10.49
2015-09-30,6.73,$0.32,21.03
2015-06-30,6.36,$0.25,25.46
2015-03-31,6.58,$0.21,31.33
2014-12-31,6.25,$0.04,156.3
2014-09-30,6.8,$0.04,169.88
2014-06-30,6.86,$0.18,38.11
2014-03-31,7.59,$0.26,29.19
2013-12-31,7.24,$0.40,18.11
2013-09-30,7.32,$0.44,16.63
2013-06-30,6.21,$0.55,11.28
2013-03-31,5.64,$-0.05,0.0
2012-12-31,5.08,$-0.18,0.0
2012-09-30,3.41,$-0.21,0.0
2012-06-30,3.87,$-0.78,0.0
2012-03-31,3.72,$-0.23,0.0
2011-12-31,3.44,$-0.12,0.0
2011-09-30,4.24,$-0.45,0.0
2011-06-30,4.96,$-0.66,0.0
2011-03-31,4.58,$-0.72,0.0
2010-12-31,4.61,$-0.81,0.0
2010-09-30,5.93,$-0.61,0.0
2010-06-30,5.56,$0.10,55.65
2010-03-31,6.93,$0.17,40.79
2009-12-31,7.12,$0.25,28.49
