Mega Matrix PE Ratio Historical Data,Mega Matrix PE Ratio Historical Data,Mega Matrix PE Ratio Historical Data,Mega Matrix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.61,,0.0
2024-06-30,2.48,$-0.17,0.0
2024-03-31,2.86,$-0.12,0.0
2023-12-31,1.41,$-0.12,0.0
2023-09-30,0.88,$-0.34,0.0
2023-06-30,1.3,$-0.29,0.0
2023-03-31,1.55,$-0.24,0.0
2022-12-31,1.76,$-0.21,0.0
2022-09-30,1.69,$-0.02,0.0
2022-06-30,1.36,$-0.02,0.0
2022-03-31,2.0,$-0.43,0.0
2021-12-31,11.94,$-1.11,0.0
2021-09-30,11.86,$-2.99,0.0
2021-06-30,2.06,$-3.51,0.0
2021-03-31,0.69,$-4.85,0.0
2020-12-31,2.1,$-5.46,0.0
2020-09-30,0.39,$-4.50,0.0
2020-06-30,0.48,$-3.97,0.0
2020-03-31,0.2,$-2.24,0.0
2019-12-31,0.88,$-1.09,0.0
2019-09-30,1.21,$-0.68,0.0
2019-06-30,1.42,$-1.31,0.0
2019-03-31,2.31,$-1.31,0.0
2018-12-31,1.87,$-1.10,0.0
2018-09-30,3.03,$0.25,12.14
2018-06-30,3.1,$0.94,3.31
2018-03-31,3.39,$1.00,3.39
2017-12-31,2.98,$1.04,2.88
2017-09-30,2.78,$0.18,15.43
2017-06-30,2.46,$0.19,12.67
2017-03-31,1.92,$0.18,10.54
2016-12-31,1.85,$0.16,11.86
2016-09-30,1.83,$0.56,3.27
2016-06-30,1.8,$0.65,2.75
2016-03-31,2.11,$0.79,2.67
2015-12-31,2.49,$0.83,3.0
2015-09-30,1.97,$0.50,3.96
2015-06-30,1.66,$-0.73,0.0
2015-03-31,2.6,$-1.42,0.0
2014-12-31,1.71,$-1.47,0.0
2014-09-30,2.2,$-1.71,0.0
2014-06-30,3.05,$-0.69,0.0
2014-03-31,3.48,$-0.06,0.0
2013-12-31,3.36,$0.40,8.37
2013-09-30,4.02,$0.81,4.96
2013-06-30,3.81,$1.00,3.83
2013-03-31,3.43,$1.00,3.41
2012-12-31,2.76,$0.66,4.17
2012-09-30,2.45,$0.59,4.13
2012-06-30,2.33,$0.42,5.56
2012-03-31,2.18,$0.28,7.91
2011-12-31,1.2,$-0.19,0.0
2011-09-30,1.38,$-0.48,0.0
2011-06-30,2.54,$-0.41,0.0
2011-03-31,2.92,$-0.33,0.0
2010-12-31,3.54,$0.21,17.03
2010-09-30,3.33,$0.58,5.79
2010-06-30,4.1,$0.69,5.92
2010-03-31,3.77,$0.80,4.69
2009-12-31,3.08,$0.72,4.26
