Coherent PE Ratio Historical Data,Coherent PE Ratio Historical Data,Coherent PE Ratio Historical Data,Coherent PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,68.71,,0.0
2024-12-31,94.73,$-0.41,0.0
2024-09-30,88.91,$-1.23,0.0
2024-06-30,72.46,$-1.84,0.0
2024-03-31,60.62,$-2.86,0.0
2023-12-31,43.53,$-2.81,0.0
2023-09-30,32.64,$-3.01,0.0
2023-06-30,50.98,$-2.92,0.0
2023-03-31,38.08,$-1.15,0.0
2022-12-31,35.1,$-0.63,0.0
2022-09-30,34.85,$0.39,89.36
2022-06-30,50.95,$1.45,35.14
2022-03-31,72.49,$1.81,40.05
2021-12-31,68.33,$2.19,31.2
2021-09-30,59.36,$2.48,23.94
2021-06-30,72.59,$2.36,30.76
2021-03-31,68.37,$2.30,29.73
2020-12-31,75.96,$1.70,44.68
2020-09-30,40.56,$-0.11,0.0
2020-06-30,47.22,$-0.88,0.0
2020-03-31,28.5,$-0.98,0.0
2019-12-31,33.67,$-0.66,0.0
2019-09-30,35.21,$0.86,40.94
2019-06-30,36.56,$1.65,22.16
2019-03-31,37.24,$1.64,22.71
2018-12-31,32.46,$1.71,18.98
2018-09-30,47.3,$1.42,33.31
2018-06-30,43.45,$1.34,32.43
2018-03-31,40.9,$1.42,28.8
2017-12-31,46.95,$1.32,35.57
2017-09-30,41.15,$1.54,26.72
2017-06-30,34.3,$1.48,23.18
2017-03-31,36.05,$1.21,29.79
2016-12-31,29.65,$1.10,26.95
2016-09-30,24.33,$1.04,23.39
2016-06-30,18.76,$1.05,17.87
2016-03-31,21.71,$1.09,19.92
2015-12-31,18.56,$1.09,17.03
2015-09-30,16.08,$1.13,14.23
2015-06-30,18.98,$1.06,17.91
2015-03-31,18.46,$0.99,18.65
2014-12-31,13.65,$0.88,15.51
2014-09-30,11.77,$0.65,18.11
2014-06-30,14.46,$0.60,24.1
2014-03-31,15.43,$0.56,27.55
2013-12-31,17.58,$0.68,25.85
2013-09-30,18.8,$0.75,25.07
2013-06-30,16.26,$0.80,20.33
2013-03-31,17.04,$0.86,19.81
2012-12-31,18.23,$0.83,21.96
2012-09-30,19.02,$0.85,22.38
2012-06-30,16.67,$0.94,17.73
2012-03-31,23.65,$1.06,22.31
2011-12-31,18.36,$1.20,15.3
2011-09-30,17.5,$1.29,13.57
2011-06-30,25.6,$1.30,19.77
2011-03-31,49.75,$1.21,41.12
2010-12-31,46.36,$1.02,45.67
2010-09-30,37.33,$0.82,45.8
2010-06-30,29.63,$0.63,47.41
2010-03-31,33.84,$0.48,71.24
2009-12-31,31.8,$0.39,81.54
