Wheaton Precious Metals PE Ratio Historical Data,Wheaton Precious Metals PE Ratio Historical Data,Wheaton Precious Metals PE Ratio Historical Data,Wheaton Precious Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,75.57,,56.4
2024-09-30,60.93,$1.34,45.47
2024-06-30,52.16,$1.26,41.4
2024-03-31,46.75,$1.30,35.96
2023-12-31,48.94,$1.19,41.13
2023-09-30,40.1,$1.19,33.7
2023-06-30,42.59,$1.36,31.31
2023-03-31,47.31,$1.38,34.28
2022-12-31,38.26,$1.48,25.85
2022-09-30,31.56,$1.76,17.93
2022-06-30,34.98,$1.63,21.46
2022-03-31,46.02,$1.67,27.56
2021-12-31,41.39,$1.68,24.64
2021-09-30,36.11,$1.38,26.17
2021-06-30,42.2,$1.41,29.93
2021-03-31,36.48,$1.28,28.5
2020-12-31,39.72,$1.13,35.15
2020-09-30,46.55,$0.95,49.0
2020-06-30,41.71,$0.79,52.79
2020-03-31,26.01,$0.27,96.32
2019-12-31,28.01,$0.19,147.41
2019-09-30,24.63,$0.04,615.63
2019-06-30,22.62,$-0.05,0.0
2019-03-31,22.1,$0.95,23.26
2018-12-31,18.12,$0.97,18.68
2018-09-30,16.23,$0.64,25.37
2018-06-30,20.36,$0.71,28.68
2018-03-31,18.64,$0.14,133.16
