Community Health Systems PE Ratio Historical Data,Community Health Systems PE Ratio Historical Data,Community Health Systems PE Ratio Historical Data,Community Health Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.67,,0.0
2024-12-31,2.99,$-3.90,0.0
2024-09-30,6.07,$-3.02,0.0
2024-06-30,3.36,$-0.76,0.0
2024-03-31,3.5,$-0.95,0.0
2023-12-31,3.13,$-1.03,0.0
2023-09-30,2.9,$1.80,1.61
2023-06-30,4.4,$2.17,2.03
2023-03-31,4.9,$-0.06,0.0
2022-12-31,4.32,$0.33,13.09
2022-09-30,2.15,$-1.51,0.0
2022-06-30,3.75,$-0.34,0.0
2022-03-31,11.87,$2.22,5.35
2021-12-31,13.31,$1.72,7.74
2021-09-30,11.7,$2.95,3.97
2021-06-30,15.44,$3.07,5.03
2021-03-31,13.52,$3.64,3.71
2020-12-31,7.43,$4.30,1.73
2020-09-30,4.22,$-1.54,0.0
2020-06-30,3.01,$-2.66,0.0
2020-03-31,3.34,$-4.74,0.0
2019-12-31,2.9,$-5.93,0.0
2019-09-30,3.6,$-5.57,0.0
2019-06-30,2.67,$-8.30,0.0
2019-03-31,3.73,$-7.80,0.0
2018-12-31,2.82,$-6.98,0.0
2018-09-30,3.46,$-22.05,0.0
2018-06-30,3.32,$-20.15,0.0
2018-03-31,3.96,$-20.40,0.0
2017-12-31,4.26,$-21.97,0.0
2017-09-30,7.68,$-5.98,0.0
2017-06-30,9.96,$-5.71,0.0
2017-03-31,8.87,$-17.40,0.0
2016-12-31,5.59,$-15.51,0.0
2016-09-30,11.54,$-14.25,0.0
2016-06-30,12.05,$-13.10,0.0
2016-03-31,15.38,$0.76,20.24
2015-12-31,22.04,$1.34,16.45
2015-09-30,35.54,$2.94,12.09
2015-06-30,52.32,$3.04,17.21
2015-03-31,43.44,$2.46,17.66
2014-12-31,44.8,$0.74,60.54
2014-09-30,45.52,$0.17,267.78
2014-06-30,37.7,$-0.33,0.0
2014-03-31,32.55,$-0.38,0.0
2013-12-31,32.63,$1.52,21.47
2013-09-30,34.48,$1.91,18.05
2013-06-30,38.95,$2.36,16.5
2013-03-31,39.37,$2.97,13.26
2012-12-31,25.54,$2.96,8.63
2012-09-30,24.01,$2.62,9.16
2012-06-30,23.09,$2.96,7.8
2012-03-31,18.32,$2.42,7.57
2011-12-31,14.38,$2.24,6.42
2011-09-30,13.71,$2.65,5.17
2011-06-30,21.16,$2.58,8.2
2011-03-31,32.95,$2.93,11.25
2010-12-31,30.79,$3.01,10.23
2010-09-30,25.52,$2.95,8.65
2010-06-30,27.86,$2.84,9.81
2010-03-31,30.43,$2.75,11.06
2009-12-31,29.33,$2.65,11.07
