SB Financial PE Ratio Historical Data,SB Financial PE Ratio Historical Data,SB Financial PE Ratio Historical Data,SB Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.78,,12.08
2024-12-31,20.91,$1.72,12.16
2024-09-30,20.4,$1.74,11.73
2024-06-30,13.77,$1.78,7.73
2024-03-31,13.41,$1.75,7.66
2023-12-31,14.81,$1.75,8.46
2023-09-30,12.89,$1.68,7.68
2023-06-30,11.94,$1.76,6.79
2023-03-31,13.23,$1.72,7.69
2022-12-31,15.75,$1.77,8.9
2022-09-30,15.54,$1.76,8.83
2022-06-30,15.8,$1.84,8.58
2022-03-31,18.11,$1.94,9.35
2021-12-31,16.94,$2.46,6.88
2021-09-30,15.57,$2.65,5.88
2021-06-30,15.74,$2.75,5.72
2021-03-31,15.44,$2.70,5.71
2020-12-31,15.37,$1.87,8.23
2020-09-30,11.27,$1.59,7.08
2020-06-30,13.78,$1.39,9.91
2020-03-31,9.16,$1.26,7.28
2019-12-31,16.14,$1.44,11.22
2019-09-30,13.62,$1.39,9.8
2019-06-30,13.34,$1.30,10.22
2019-03-31,14.53,$1.37,10.6
2018-12-31,13.21,$1.44,9.18
2018-09-30,16.26,$1.70,9.59
2018-06-30,16.17,$1.73,9.33
2018-03-31,14.66,$1.70,8.6
2017-12-31,14.59,$1.67,8.76
2017-09-30,13.49,$1.41,9.57
2017-06-30,13.21,$1.38,9.57
2017-03-31,13.03,$1.36,9.57
2016-12-31,12.47,$1.31,9.49
2016-09-30,9.68,$1.24,7.82
2016-06-30,8.36,$1.19,7.02
2016-03-31,7.88,$1.15,6.84
2015-12-31,8.47,$1.12,7.54
2015-09-30,7.77,$1.13,6.86
2015-06-30,7.97,$1.10,7.28
2015-03-31,7.91,$1.04,7.62
2014-12-31,7.01,$1.01,6.95
2014-09-30,6.72,$0.96,6.98
2014-06-30,6.18,$0.93,6.63
2014-03-31,6.14,$0.95,6.45
2013-12-31,5.77,$1.02,5.66
2013-09-30,5.66,$1.08,5.26
2013-06-30,5.53,$1.07,5.19
2013-03-31,6.18,$1.01,6.12
2012-12-31,4.7,$0.94,4.98
2012-09-30,4.92,$0.78,6.3
2012-06-30,5.05,$0.64,7.91
2012-03-31,2.85,$0.59,4.83
2011-12-31,1.9,$0.40,4.75
2011-09-30,1.95,$0.10,20.45
2011-06-30,2.2,$-0.01,0.0
2011-03-31,2.19,$-1.75,0.0
2010-12-31,2.87,$-1.91,0.0
2010-09-30,2.3,$-2.11,0.0
2010-06-30,2.92,$-2.10,0.0
2010-03-31,4.91,$-0.31,0.0
2009-12-31,4.94,$0.07,73.91
