BioCardia PE Ratio Historical Data,BioCardia PE Ratio Historical Data,BioCardia PE Ratio Historical Data,BioCardia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.47,,0.0
2024-09-30,3.12,$-4.19,0.0
2024-06-30,2.97,$-5.38,0.0
2024-03-31,6.11,$-7.05,0.0
2023-12-31,9.96,$-8.25,0.0
2023-09-30,6.45,$-9.30,0.0
2023-06-30,40.05,$-10.04,0.0
2023-03-31,29.25,$-9.60,0.0
2022-12-31,31.35,$-9.90,0.0
2022-09-30,29.1,$-10.64,0.0
2022-06-30,21.75,$-10.49,0.0
2022-03-31,31.05,$-11.39,0.0
2021-12-31,29.1,$-11.24,0.0
2021-09-30,47.1,$-10.49,0.0
2021-06-30,59.55,$-12.59,0.0
2021-03-31,65.1,$-16.49,0.0
2020-12-31,51.9,$-23.84,0.0
2020-09-30,34.05,$-29.09,0.0
2020-06-30,36.0,$-34.03,0.0
