Bridgeline Digital PE Ratio Historical Data,Bridgeline Digital PE Ratio Historical Data,Bridgeline Digital PE Ratio Historical Data,Bridgeline Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.46,,0.0
2024-12-31,1.58,$-0.19,0.0
2024-09-30,1.15,$-0.19,0.0
2024-06-30,0.92,$-0.92,0.0
2024-03-31,1.16,$-0.96,0.0
2023-12-31,0.87,$-0.95,0.0
2023-09-30,0.83,$-0.90,0.0
2023-06-30,1.18,$-0.18,0.0
2023-03-31,0.91,$-0.07,0.0
2022-12-31,1.05,$0.01,105.0
2022-09-30,1.31,$0.08,16.38
2022-06-30,1.2,$-0.27,0.0
2022-03-31,1.91,$-0.92,0.0
2021-12-31,2.26,$-1.06,0.0
2021-09-30,4.11,$-1.38,0.0
2021-06-30,4.3,$-0.74,0.0
2021-03-31,2.89,$-0.57,0.0
2020-12-31,2.58,$-0.29,0.0
2020-09-30,1.86,$-0.84,0.0
2020-06-30,1.69,$-0.90,0.0
2020-03-31,0.67,$3.10,0.21
2019-12-31,1.54,$-38.59,0.0
2019-09-30,1.91,$-60.78,0.0
2019-06-30,2.45,$-72.96,0.0
2019-03-31,8.0,$-138.52,0.0
2018-12-31,11.55,$-106.00,0.0
2018-09-30,49.0,$-89.00,0.0
2018-06-30,57.0,$-82.00,0.0
2018-03-31,103.0,$-25.00,0.0
2017-12-31,121.4,$-23.50,0.0
2017-09-30,143.5,$-22.50,0.0
2017-06-30,139.98,$-67.50,0.0
2017-03-31,208.5,$-115.00,0.0
2016-12-31,160.6,$-157.50,0.0
2016-09-30,197.5,$-215.00,0.0
2016-06-30,265.0,$-812.50,0.0
2016-03-31,210.0,$-825.00,0.0
2015-12-31,267.5,$-897.50,0.0
2015-09-30,305.0,$-960.00,0.0
2015-06-30,447.5,$-412.50,0.0
2015-03-31,612.5,$-422.50,0.0
2014-12-31,568.75,$-462.50,0.0
2014-09-30,812.5,$-387.50,0.0
2014-06-30,1100.0,$-337.50,0.0
2014-03-31,1262.5,$-387.50,0.0
2013-12-31,1325.0,$-287.50,0.0
2013-09-30,1375.0,$-287.50,0.0
2013-06-30,1500.0,$-237.50,0.0
2013-03-31,1587.5,$-137.50,0.0
2012-12-31,1812.5,$-87.50,0.0
2012-09-30,1500.0,$-87.50,0.0
2012-06-30,1887.5,$-87.50,0.0
2012-03-31,1412.5,$-87.50,0.0
2011-12-31,750.0,$-112.50,0.0
2011-09-30,665.0,$-75.00,0.0
2011-06-30,1187.5,$-150.00,0.0
2011-03-31,1375.0,$-125.00,0.0
2010-12-31,1800.0,$-87.50,0.0
2010-09-30,1525.0,$-50.00,0.0
2010-06-30,1468.75,$50.00,29.38
2010-03-31,1600.0,$75.00,21.33
2009-12-31,1500.0,$100.00,15.0
