Bank Of New York Mellon PE Ratio Historical Data,Bank Of New York Mellon PE Ratio Historical Data,Bank Of New York Mellon PE Ratio Historical Data,Bank Of New York Mellon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,83.93,,14.45
2024-12-31,76.83,$5.81,13.22
2024-09-30,71.42,$4.60,15.53
2024-06-30,59.08,$4.32,13.68
2024-03-31,56.43,$4.10,13.76
2023-12-31,50.59,$3.97,12.74
2023-09-30,41.04,$4.26,9.63
2023-06-30,42.45,$3.43,12.38
2023-03-31,42.95,$3.16,13.59
2022-12-31,42.7,$2.90,14.72
2022-09-30,35.81,$3.29,10.89
2022-06-30,38.45,$3.94,9.76
2022-03-31,45.38,$4.04,11.23
2021-12-31,52.8,$4.15,12.72
2021-09-30,46.86,$3.93,11.92
2021-06-30,46.0,$3.87,11.89
2021-03-31,42.19,$3.75,11.25
2020-12-31,37.57,$3.83,9.81
2020-09-30,30.14,$4.56,6.61
2020-06-30,33.63,$4.65,7.23
2020-03-31,29.06,$4.65,6.25
2019-12-31,43.14,$4.54,9.5
2019-09-30,38.49,$3.86,9.97
2019-06-30,37.35,$3.85,9.7
2019-03-31,42.42,$3.87,10.96
2018-12-31,39.38,$4.03,9.77
2018-09-30,42.4,$4.27,9.93
2018-06-30,44.61,$4.15,10.75
2018-03-31,42.44,$4.00,10.61
2017-12-31,44.18,$3.73,11.84
2017-09-30,43.29,$3.42,12.66
2017-06-30,41.47,$3.38,12.27
2017-03-31,38.23,$3.25,11.76
2016-12-31,38.19,$3.16,12.09
2016-09-30,32.01,$2.96,10.81
2016-06-30,31.03,$2.80,11.08
2016-03-31,29.29,$2.78,10.54
2015-12-31,32.63,$2.71,12.04
2015-09-30,30.87,$2.84,10.87
2015-06-30,32.96,$3.03,10.88
2015-03-31,31.48,$2.78,11.32
2014-12-31,31.59,$2.68,11.79
2014-09-30,30.02,$2.43,12.35
2014-06-30,28.92,$2.32,12.47
2014-03-31,27.1,$2.55,10.63
2013-12-31,26.7,$1.75,15.26
2013-09-30,22.97,$1.83,12.55
2013-06-30,21.24,$1.62,13.11
2013-03-31,21.08,$1.30,16.21
2012-12-31,19.26,$2.05,9.4
2012-09-30,16.86,$1.94,8.69
2012-06-30,16.26,$1.86,8.74
2012-03-31,17.78,$2.06,8.63
2011-12-31,14.58,$2.04,7.15
2011-09-30,13.53,$2.16,6.26
2011-06-30,18.55,$2.14,8.67
2011-03-31,21.53,$2.09,10.3
2010-12-31,21.71,$2.05,10.59
2010-09-30,18.71,$2.00,9.36
2010-06-30,17.62,$-0.56,0.0
2010-03-31,21.97,$-0.95,0.0
2009-12-31,19.84,$-1.13,0.0
