Solid Biosciences PE Ratio Historical Data,Solid Biosciences PE Ratio Historical Data,Solid Biosciences PE Ratio Historical Data,Solid Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.7,,0.0
2024-12-31,4.0,$-3.04,0.0
2024-09-30,6.97,$-3.04,0.0
2024-06-30,5.67,$-3.30,0.0
2024-03-31,13.32,$-3.94,0.0
2023-12-31,6.14,$-4.84,0.0
2023-09-30,2.52,$-4.52,0.0
2023-06-30,5.24,$-6.18,0.0
2023-03-31,4.74,$-8.23,0.0
2022-12-31,5.38,$-9.99,0.0
2022-09-30,7.0,$-11.86,0.0
2022-06-30,9.23,$-11.54,0.0
2022-03-31,18.0,$-10.79,0.0
2021-12-31,26.25,$-10.34,0.0
2021-09-30,35.85,$-12.44,0.0
2021-06-30,54.9,$-16.64,0.0
2021-03-31,82.95,$-19.94,0.0
2020-12-31,113.7,$-25.49,0.0
2020-09-30,30.45,$-30.88,0.0
2020-06-30,43.95,$-34.33,0.0
2020-03-31,35.85,$-39.88,0.0
2019-12-31,66.75,$-44.23,0.0
2019-09-30,155.1,$-43.78,0.0
2019-06-30,86.25,$-41.98,0.0
2019-03-31,138.0,$-38.38,0.0
2018-12-31,402.0,$-33.73,0.0
