NCS Multistage Holdings PE Ratio Historical Data,NCS Multistage Holdings PE Ratio Historical Data,NCS Multistage Holdings PE Ratio Historical Data,NCS Multistage Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.21,,29.93
2024-12-31,25.96,$1.21,21.45
2024-09-30,19.72,$17.01,1.16
2024-06-30,16.78,$17.18,0.98
2024-03-31,16.03,$5.37,2.99
2023-12-31,17.85,$-1.55,0.0
2023-09-30,16.15,$-16.54,0.0
2023-06-30,17.0,$-16.73,0.0
2023-03-31,23.7,$-5.96,0.0
2022-12-31,25.0,$-0.50,0.0
2022-09-30,21.75,$-0.63,0.0
2022-06-30,31.0,$-1.07,0.0
2022-03-31,50.76,$-1.23,0.0
2021-12-31,28.99,$-2.02,0.0
2021-09-30,28.56,$0.89,32.09
2021-06-30,31.53,$-2.65,0.0
2021-03-31,27.75,$-4.04,0.0
2020-12-31,22.51,$-24.61,0.0
2020-09-30,11.88,$-29.20,0.0
2020-06-30,11.56,$-25.20,0.0
2020-03-31,12.8,$-31.00,0.0
2019-12-31,42.0,$-14.20,0.0
2019-09-30,40.0,$-103.40,0.0
2019-06-30,71.0,$-102.40,0.0
2019-03-31,103.6,$-94.60,0.0
2018-12-31,101.8,$-84.80,0.0
2018-09-30,330.2,$3.80,86.89
2018-06-30,290.6,$2.60,111.77
2018-03-31,300.0,$2.20,136.36
