Bank Of Marin Bancorp PE Ratio Historical Data,Bank Of Marin Bancorp PE Ratio Historical Data,Bank Of Marin Bancorp PE Ratio Historical Data,Bank Of Marin Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.46,,0.0
2024-12-31,23.77,$-0.90,0.0
2024-09-30,19.89,$-0.86,0.0
2024-06-30,15.81,$-0.81,0.0
2024-03-31,16.12,$0.83,19.43
2023-12-31,20.87,$1.24,16.83
2023-09-30,17.09,$2.01,8.5
2023-06-30,16.33,$2.44,6.69
2023-03-31,19.87,$2.85,6.97
2022-12-31,29.6,$2.92,10.14
2022-09-30,26.78,$2.72,9.84
2022-06-30,28.19,$2.31,12.2
2022-03-31,30.88,$2.33,13.25
2021-12-31,32.57,$2.33,13.98
2021-09-30,32.82,$2.32,14.15
2021-06-30,27.54,$2.52,10.93
2021-03-31,33.59,$2.36,14.23
2020-12-31,29.28,$2.23,13.13
2020-09-30,24.51,$2.29,10.7
2020-06-30,28.0,$2.43,11.52
2020-03-31,25.03,$2.48,10.09
2019-12-31,37.39,$2.49,15.02
2019-09-30,34.27,$2.52,13.6
2019-06-30,33.71,$2.45,13.79
2019-03-31,33.29,$2.41,13.84
2018-12-31,33.59,$2.32,14.48
2018-09-30,34.03,$1.72,19.84
2018-06-30,32.67,$1.52,21.57
2018-03-31,27.75,$1.38,20.18
2017-12-31,27.25,$1.29,21.13
2017-09-30,27.34,$1.67,16.37
2017-06-30,24.46,$1.83,13.4
2017-03-31,25.46,$1.80,14.14
2016-12-31,27.49,$1.90,14.51
2016-09-30,19.49,$1.84,10.62
2016-06-30,18.86,$1.66,11.36
2016-03-31,19.1,$1.62,11.79
2015-12-31,20.62,$1.53,13.52
2015-09-30,18.45,$1.51,12.22
2015-06-30,19.46,$1.56,12.48
2015-03-31,19.39,$1.64,11.86
2014-12-31,19.95,$1.65,12.13
2014-09-30,17.33,$1.46,11.87
2014-06-30,17.14,$1.38,12.46
2014-03-31,16.87,$1.22,13.83
2013-12-31,16.17,$1.29,12.58
2013-09-30,15.42,$1.51,10.21
2013-06-30,14.78,$1.45,10.23
2013-03-31,14.75,$1.63,9.07
2012-12-31,13.72,$1.64,8.39
2012-09-30,15.49,$1.52,10.19
2012-06-30,13.42,$1.62,8.29
2012-03-31,13.72,$1.49,9.24
2011-12-31,13.51,$1.45,9.32
2011-09-30,11.82,$1.50,7.88
2011-06-30,12.6,$1.42,8.87
2011-03-31,13.23,$1.42,9.35
2010-12-31,12.35,$1.28,9.69
2010-09-30,11.33,$1.17,9.68
2010-06-30,11.17,$1.20,9.34
2010-03-31,11.52,$1.18,9.76
2009-12-31,11.28,$1.09,10.4
