Kinetik Holdings PE Ratio Historical Data,Kinetik Holdings PE Ratio Historical Data,Kinetik Holdings PE Ratio Historical Data,Kinetik Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,53.71,,52.66
2024-12-31,56.71,$1.02,55.6
2024-09-30,44.55,$2.71,16.44
2024-06-30,40.06,$2.57,15.59
2024-03-31,37.82,$2.44,15.5
2023-12-31,30.99,$2.26,13.71
2023-09-30,30.65,$0.81,37.84
2023-06-30,31.26,$1.64,19.06
2023-03-31,27.1,$1.29,21.01
2022-12-31,27.93,$1.46,19.2
2022-09-30,27.51,$1.21,22.83
2022-06-30,28.27,$0.80,35.56
2022-03-31,26.37,$1.39,18.97
2021-12-31,24.87,$1.31,18.99
2021-09-30,27.34,$2.57,10.66
2021-06-30,26.12,$2.09,12.53
2021-03-31,19.84,$1.40,14.22
2020-12-31,17.48,$-0.03,0.0
2020-09-30,4.09,$-49.79,0.0
2020-06-30,4.67,$-50.64,0.0
2020-03-31,5.52,$-50.90,0.0
2019-12-31,21.06,$-49.40,0.0
2019-09-30,20.84,$-0.90,0.0
2019-06-30,27.4,$-0.20,0.0
2019-03-31,43.45,$0.10,434.51
2018-12-31,56.93,0,0.0
2018-09-30,74.82,0,0.0
2018-06-30,72.91,0,0.0
2018-03-31,72.1,0,0.0
