Xos PE Ratio Historical Data,Xos PE Ratio Historical Data,Xos PE Ratio Historical Data,Xos PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.71,,0.0
2024-09-30,4.55,$-6.68,0.0
2024-06-30,6.91,$-7.76,0.0
2024-03-31,10.24,$-10.74,0.0
2023-12-31,7.98,$-13.14,0.0
2023-09-30,0.34,$-13.81,0.0
2023-06-30,0.22,$-15.62,0.0
2023-03-31,0.53,$-13.21,0.0
2022-12-31,0.44,$-12.91,0.0
2022-09-30,1.2,$-7.81,0.0
2022-06-30,1.84,$-6.01,0.0
2022-03-31,2.99,$-4.20,0.0
2021-12-31,3.15,$-0.30,0.0
2021-09-30,4.63,$-2.40,0.0
