Sify Technologies PE Ratio Historical Data,Sify Technologies PE Ratio Historical Data,Sify Technologies PE Ratio Historical Data,Sify Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.49,,inf
2024-12-31,2.86,0,0.0
2024-09-30,2.16,0,0.0
2024-06-30,2.64,0,0.0
2024-03-31,7.56,0,0.0
2023-12-31,11.19,0,0.0
2023-09-30,10.98,0,0.0
2023-06-30,11.28,0,0.0
2023-03-31,7.56,0,0.0
2022-12-31,6.91,0,0.0
2022-09-30,10.26,0,0.0
2022-06-30,11.7,0,0.0
2022-03-31,17.94,0,0.0
2021-12-31,19.38,0,0.0
2021-09-30,20.28,0,0.0
2021-06-30,21.72,0,0.0
2020-12-31,7.62,0,0.0
2020-09-30,6.12,0,0.0
2019-12-31,7.38,0,0.0
2019-09-30,8.46,0,0.0
2018-09-30,8.95,0,0.0
2017-09-30,7.87,0,0.0
2017-06-30,4.17,0,0.0
2016-09-30,5.85,$0.06,97.58
2016-03-31,7.2,$0.12,59.97
2015-12-31,5.58,$0.12,46.51
2015-09-30,5.95,$0.18,33.06
2015-06-30,8.5,$0.18,47.22
2015-03-31,7.23,$0.12,60.23
2014-09-30,11.04,$0.12,91.98
2014-06-30,12.55,$0.12,104.59
2014-03-31,11.57,$0.18,64.29
2013-12-31,11.8,$0.18,65.53
2013-09-30,10.07,$0.18,55.95
2013-06-30,9.74,$0.66,14.75
2013-03-31,10.91,$0.48,22.72
2012-12-31,10.79,$0.48,22.49
2012-09-30,12.8,$0.48,26.67
2012-06-30,13.41,$-0.18,0.0
2012-03-31,18.08,$-0.12,0.0
2011-12-31,22.37,$-0.12,0.0
2011-09-30,22.2,$-0.12,0.0
2011-06-30,25.65,$-0.36,0.0
2011-03-31,19.97,$-0.36,0.0
2010-12-31,12.57,$-0.72,0.0
2010-09-30,16.47,$0.30,54.9
2010-06-30,7.46,$0.36,20.73
2010-03-31,9.4,$-0.06,0.0
2009-12-31,9.57,$-0.30,0.0
