Live Ventures PE Ratio Historical Data,Live Ventures PE Ratio Historical Data,Live Ventures PE Ratio Historical Data,Live Ventures PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.75,,0.0
2024-12-31,9.33,$-8.11,0.0
2024-09-30,15.27,$-8.49,0.0
2024-06-30,22.69,$-3.63,0.0
2024-03-31,26.97,$-2.39,0.0
2023-12-31,25.4,$-0.86,0.0
2023-09-30,28.29,$-0.04,0.0
2023-06-30,26.21,$1.22,21.48
2023-03-31,30.72,$2.00,15.36
2022-12-31,31.3,$6.35,4.93
2022-09-30,25.05,$7.79,3.22
2022-06-30,25.07,$10.48,2.39
2022-03-31,43.88,$12.38,3.54
2021-12-31,31.53,$13.16,2.4
2021-09-30,37.0,$14.57,2.54
2021-06-30,61.6,$13.30,4.63
2021-03-31,23.89,$11.36,2.1
2020-12-31,12.42,$6.40,1.94
2020-09-30,8.94,$3.10,2.88
2020-06-30,9.5,$-1.18,0.0
2020-03-31,5.26,$-1.84,0.0
2019-12-31,7.51,$-2.37,0.0
2019-09-30,8.57,$-2.11,0.0
2019-06-30,7.17,$0.97,7.39
2019-03-31,7.8,$1.12,6.96
2018-12-31,6.72,$1.97,3.41
2018-09-30,9.0,$2.51,3.59
2018-06-30,12.56,$2.79,4.5
2018-03-31,12.16,$2.78,4.37
2017-12-31,15.98,$2.27,7.04
2017-09-30,12.4,$1.69,7.34
2017-06-30,10.34,$2.17,4.76
2017-03-31,15.9,$5.82,2.73
2016-12-31,24.02,$5.77,4.16
2016-09-30,11.46,$5.46,2.1
2016-06-30,9.0,$3.00,3.0
2016-03-31,8.34,$-2.76,0.0
2015-12-31,8.76,$-3.60,0.0
2015-09-30,10.08,$-5.64,0.0
2015-06-30,15.18,$-4.68,0.0
2015-03-31,18.9,$-3.78,0.0
2014-12-31,18.84,$-3.78,0.0
2014-09-30,17.88,$-2.04,0.0
2014-06-30,26.22,$-1.86,0.0
2014-03-31,41.04,$-1.50,0.0
2013-12-31,7.96,$-3.38,0.0
2013-09-30,6.87,$-3.94,0.0
2013-06-30,5.44,$-4.22,0.0
2013-03-31,7.34,$-4.16,0.0
2012-12-31,7.6,$-2.08,0.0
2012-09-30,10.34,$-1.64,0.0
2012-06-30,23.92,$-1.76,0.0
2012-03-31,8.3,$-4.88,0.0
2011-12-31,7.98,$-11.69,0.0
2011-09-30,3.2,$-16.77,0.0
2011-06-30,6.0,$-21.59,0.0
2011-03-31,7.11,$-18.64,0.0
2010-12-31,12.96,$-17.31,0.0
2010-09-30,9.39,$-11.88,0.0
2010-06-30,9.88,$-6.12,0.0
2010-03-31,11.4,$-12.35,0.0
2009-12-31,22.8,$-67.25,0.0
