Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,164.77,,16.95
2024-12-31,144.84,$9.72,14.9
2024-09-30,145.79,$9.10,16.02
2024-06-30,153.15,$10.10,15.16
2024-03-31,152.9,$10.87,14.07
2023-12-31,143.07,$11.36,12.59
2023-09-30,160.03,$13.47,11.88
2023-06-30,147.94,$15.77,9.38
2023-03-31,151.91,$18.52,8.2
2022-12-31,165.63,$18.28,9.06
2022-09-30,131.56,$17.58,7.48
2022-06-30,131.41,$14.99,8.77
2022-03-31,146.55,$10.64,13.77
2021-12-31,104.51,$8.14,12.84
2021-09-30,89.31,$5.18,17.24
2021-06-30,90.95,$1.87,48.64
2021-03-31,89.86,$-4.17,0.0
2020-12-31,71.43,$-2.96,0.0
2020-09-30,60.01,$-6.14,0.0
2020-06-30,73.29,$-4.66,0.0
2020-03-31,58.7,$2.05,28.63
2019-12-31,96.49,$1.51,63.9
2019-09-30,94.03,$6.97,13.49
2019-06-30,97.66,$7.72,12.65
2019-03-31,95.73,$7.23,13.24
2018-12-31,83.7,$7.74,10.81
2018-09-30,93.19,$7.43,12.54
2018-06-30,95.44,$6.35,15.03
2018-03-31,85.35,$5.34,15.98
2017-12-31,92.77,$4.85,19.13
2017-09-30,86.26,$3.43,25.15
2017-06-30,75.83,$3.08,24.62
2017-03-31,77.24,$1.53,50.48
2016-12-31,83.87,$-0.27,0.0
2016-09-30,72.61,$-0.80,0.0
2016-06-30,73.19,$-0.39,0.0
2016-03-31,65.91,$0.69,95.52
2015-12-31,61.38,$2.45,25.05
2015-09-30,53.19,$4.61,11.54
2015-06-30,64.23,$6.47,9.93
2015-03-31,69.21,$9.15,7.56
2014-12-31,73.25,$10.14,7.22
2014-09-30,77.2,$10.86,7.11
2014-06-30,83.76,$10.48,7.99
2014-03-31,75.64,$10.27,7.36
2013-12-31,78.75,$11.09,7.1
2013-09-30,75.96,$12.22,6.22
2013-06-30,73.38,$12.34,5.95
2013-03-31,73.08,$13.23,5.52
2012-12-31,66.0,$13.32,4.95
2012-09-30,70.52,$12.20,5.78
2012-06-30,63.32,$13.43,4.71
2012-03-31,63.77,$13.62,4.68
2011-12-31,62.81,$13.44,4.67
2011-09-30,54.22,$13.50,4.02
2011-06-30,59.75,$11.45,5.22
2011-03-31,61.97,$10.30,6.02
2010-12-31,52.22,$9.48,5.51
2010-09-30,45.98,$8.37,5.49
2010-06-30,38.14,$8.42,4.53
2010-03-31,42.23,$6.59,6.41
2009-12-31,42.47,$5.24,8.11
