Energizer Holdings PE Ratio Historical Data,Energizer Holdings PE Ratio Historical Data,Energizer Holdings PE Ratio Historical Data,Energizer Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.88,,37.82
2024-12-31,34.89,$0.79,44.16
2024-09-30,31.51,$0.52,60.6
2024-06-30,29.02,$0.14,207.3
2024-03-31,28.64,$1.19,24.07
2023-12-31,30.52,$1.29,23.66
2023-09-30,30.57,$1.94,15.76
2023-06-30,31.76,$-3.42,0.0
2023-03-31,32.54,$-3.13,0.0
2022-12-31,31.2,$-3.41,0.0
2022-09-30,23.17,$-3.26,0.0
2022-06-30,25.87,$2.97,8.71
2022-03-31,27.8,$2.48,11.21
2021-12-31,35.93,$2.00,17.97
2021-09-30,34.71,$2.08,16.69
2021-06-30,37.91,$0.13,291.63
2021-03-31,41.59,$0.27,154.05
2020-12-31,36.73,$-1.27,0.0
2020-09-30,33.84,$-1.58,0.0
2020-06-30,40.79,$-0.16,0.0
2020-03-31,25.8,$-0.50,0.0
2019-12-31,42.59,$0.11,387.2
2019-09-30,36.74,$0.67,54.84
2019-06-30,32.32,$0.08,403.94
2019-03-31,37.33,$0.43,86.81
2018-12-31,37.27,$1.70,21.92
2018-09-30,48.41,$1.52,31.85
2018-06-30,51.73,$2.05,25.23
2018-03-31,48.7,$2.06,23.64
2017-12-31,39.01,$2.68,14.56
2017-09-30,37.21,$3.22,11.55
2017-06-30,38.54,$3.01,12.81
2017-03-31,44.51,$3.00,14.84
2016-12-31,35.44,$2.51,14.12
2016-09-30,39.43,$2.04,19.33
2016-06-30,40.44,$2.07,19.54
